"sound","word","condition","speaker","plsIntvl","plsIntvlNorm","points","pointsNorm","pointsOrig","file","intensityOrig","conditionNorm","conditionNorm2","wordType","conditionWord"
"l","s_olo_m^an","Free narrative","M35",0.0046999999999997,0.0673352435530036,0.0572500000000034,0.820200573065942,0.111400000000003,"07__M35__M40_free_narr",75.4743,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"l","s_olo_m^an","Free narrative","M35",0.00450000000000017,0.0644699140401164,0.0618500000000033,0.886103151862502,0.116100000000003,"07__M35__M40_free_narr",75.8715,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"l","s_olo_m^an","Free narrative","M35",0.0046999999999997,0.0673352435530036,0.0664500000000032,0.952005730659062,0.120600000000003,"07__M35__M40_free_narr",76.3804,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"o_right","s_olo_m^an","Free narrative","M35",0.00459999999999638,0.0659025787965091,0.0711000000000013,1.01862464183382,0.125300000000003,"07__M35__M40_free_narr",76.6847,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"o_right","s_olo_m^an","Free narrative","M35",0.00460000000000349,0.0659025787966109,0.0757000000000012,1.08452722063038,0.129899999999999,"07__M35__M40_free_narr",76.8628,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"o_right","s_olo_m^an","Free narrative","M35",0.00459999999999638,0.0659025787965091,0.0803000000000011,1.15042979942694,0.134500000000003,"07__M35__M40_free_narr",76.7962,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"o_right","s_olo_m^an","Free narrative","M35",0.00460000000000349,0.0659025787966109,0.0849000000000011,1.2163323782235,0.139099999999999,"07__M35__M40_free_narr",76.6222,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"o_right","s_olo_m^an","Free narrative","M35",0.00459999999999638,0.0659025787965091,0.089500000000001,1.28223495702006,0.143700000000003,"07__M35__M40_free_narr",76.3146,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"o_right","s_olo_m^an","Free narrative","M35",0.00450000000000017,0.0644699140401164,0.0940499999999993,1.34742120343837,0.148299999999999,"07__M35__M40_free_narr",75.9877,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"o_right","s_olo_m^an","Free narrative","M35",0.00460000000000349,0.0659025787966109,0.0986000000000011,1.41260744985673,0.152799999999999,"07__M35__M40_free_narr",75.6314,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"o_right","s_olo_m^an","Free narrative","M35",0.00450000000000017,0.0644699140401164,0.103150000000003,1.4777936962751,0.157400000000003,"07__M35__M40_free_narr",75.0857,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"o_right","s_olo_m^an","Free narrative","M35",0.00450000000000017,0.0644699140401164,0.107650000000003,1.54226361031521,0.161900000000003,"07__M35__M40_free_narr",74.457,"Free narrative","l, Free narrative","l","Free narrative, s_olo_m^an"
"^a","iw_^alo_","Free narrative","M35",0.00660000000000593,0.057192374350134,-0.0838999999999928,-0.7270363951472,0.00400000000000489,"07__M35__M40_free_narr",76.0505,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"^a","iw_^alo_","Free narrative","M35",0.00659999999999172,0.0571923743500109,-0.0772999999999939,-0.669844020797127,0.0106000000000108,"07__M35__M40_free_narr",76.0507,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"^a","iw_^alo_","Free narrative","M35",0.00650000000000261,0.0563258232235889,-0.0707499999999968,-0.613084922010327,0.0172000000000025,"07__M35__M40_free_narr",76.0487,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"^a","iw_^alo_","Free narrative","M35",0.0063999999999993,0.0554592720970437,-0.0642999999999958,-0.557192374350011,0.0237000000000052,"07__M35__M40_free_narr",76.0596,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
"^a","iw_^alo_","Free narrative","M35",0.0063999999999993,0.0554592720970437,-0.0578999999999965,-0.501733102252967,0.0301000000000045,"07__M35__M40_free_narr",76.0366,"Free narrative","l, Free narrative","l","Free narrative, iw_^alo_"
