file	token_code	speaker	word	prodType	v1	v2	consonant	creakType	creakStart	creakEnd	V1start	Cstart	V2start	V2end	v1_max_int	c_min_int	v2_max_int	c_mean_int	c_mean_int_norm	left_point	f0_left_hz	f0_left_db	h2_left_hz	h2_left_db	a1_left_hz	a1_left_db	a2_left_hz	a2_left_db	mid_point	f0_mid_hz	f0_mid_db	h2_mid_hz	h2_mid_db	a1_mid_hz	a1_mid_db	a2_mid_hz	a2_mid_db	right_point	f0_right_hz	f0_right_db	h2_right_hz	h2_right_db	a1_right_hz	a1_right_db	a2_right_hz	a2_right_db
35_M35_free_narr	1	M35	žilˀid	Free narrative	i	i	lˀ	creaky	15.209	15.228	15.154	15.200	15.263	15.324	75.70	71.30	74.23	72.35	67.91	0.1	109.38	36.08	223.38	44.13	218.75	44.13	1718.75	14.46	0.5	109.38	30.93	222.72	45.66	218.75	45.66	1781.25	20.90	0.9	109.38	37.21	231.01	46.30	234.38	46.30	1500.00	18.40
35_M35_free_narr	2	M35	dilˀo	Free narrative	i	o	lˀ	creaky	30.734	30.770	30.672	30.734	30.804	30.867	80.64	70.58	75.56	73.81	68.66	0.2	140.62	34.23	280.23	45.32	281.25	45.32	1781.25	13.00	0.5	140.62	38.13	296.41	44.13	296.88	44.13	1578.12	13.34	0.9	140.62	42.50	278.94	49.92	312.50	50.24	1468.75	19.63
35_M35_free_narr	3	M35	hilˀa	Free narrative	i	a	lˀ	creak	38.551	38.593	38.457	38.551	38.634	38.792	77.89	71.58	74.45	74.34	69.89	0.1	125.00	36.81	246.12	44.86	250.00	44.86	1640.62	13.90	0.5	109.38	23.12	226.50	40.29	343.75	47.64	1546.88	15.60	0.9	125.00	41.81	258.69	43.99	390.62	45.28	1437.50	25.96
35_M35_free_narr	4	M35	k’otulˀalo	Free narrative	u	a	lˀ	-	0	0	49.298	49.338	49.385	49.452	77.66	76.39	76.04	77.77	71.37	0.1	125.00	45.64	250.00	49.50	375.00	45.05	1031.25	24.23	0.5	125.00	43.68	250.55	47.00	375.00	49.96	1000.00	33.21	0.9	125.00	43.31	250.00	45.53	375.00	45.14	1031.25	28.04
35_M35_free_narr	5	M35	k’otulˀalo	Free narrative	a	o	l	-	0	0	49.385	49.452	49.513	49.605	76.56	74.59	74.73	75.36	70.58	0.1	109.38	42.55	218.75	41.45	437.50	39.60	1031.25	34.04	0.5	109.38	42.86	229.29	42.70	343.75	45.00	1031.25	30.42	0.9	109.38	43.31	218.75	43.66	375.00	42.28	1031.25	30.86
35_M35_free_narr	6	M35	jalˀir	Free narrative	a	i	lˀ	creak	57.963	58.012	57.855	57.940	58.018	58.089	75.32	69.59	76.47	72.19	65.42	0.1	125.00	36.01	250.00	39.12	500.00	37.68	1500.00	28.35	0.5	125.00	33.91	244.18	34.10	359.38	41.72	1609.38	21.27	0.9	77.45	23.98	154.91	41.65	406.25	44.09	1593.75	17.01
35_M35_free_narr	7	M35	hilˀo	Free narrative	i	o	lˀ	full stop + creak	63.351	63.487	63.260	63.351	63.548	63.601	76.55	54.94	77.15	65.14	58.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
35_M35_free_narr	8	M35	jiɢoloɢalo	Free narrative	o	o	l	-	0	0	70.846	70.893	70.963	70.991	78.89	73.72	74.11	74.51	70.26	0.1	109.38	39.48	227.80	44.08	453.12	43.67	1031.25	35.07	0.5	109.38	39.59	231.90	42.90	468.75	42.12	921.88	29.27	0.9	109.38	40.49	234.40	42.71	468.75	43.42	921.88	36.26
35_M35_free_narr	9	M35	jiɢoloɢalo	Free narrative	a	o	l	-	0	0	71.096	71.153	71.228	71.318	78.47	72.36	75.66	73.57	67.57	0.1	125.00	39.70	256.52	39.89	390.62	40.43	1031.25	31.17	0.5	125.00	41.70	265.81	41.57	406.25	43.01	1062.50	31.75	0.9	140.62	43.88	270.76	43.48	421.88	43.29	968.75	30.47
35_M35_free_narr	10	M35	zologu	Free narrative	o	o	l	-	0	0	85.548	85.614	85.688	85.745	78.69	74.81	76.54	75.79	69.43	0.1	125.00	42.19	264.86	44.07	390.62	45.35	1062.50	35.50	0.5	140.62	41.78	266.37	45.46	406.25	47.32	937.50	29.06	0.9	140.62	41.24	269.82	44.96	265.62	44.96	953.12	30.07
35_M35_free_narr	11	M35	k’otulˀajd	Free narrative	u	a	lˀ	-	0	0	95.529	95.576	95.620	95.706	78.61	76.48	76.91	77.33	70.09	0.1	125.00	41.11	250.00	48.32	390.62	46.39	1078.12	35.47	0.5	140.62	40.63	266.12	48.83	406.25	47.60	1062.50	32.39	0.9	140.62	40.23	280.23	46.42	437.50	44.74	1062.50	30.03
35_M35_free_narr	12	M35	wuinnologu	Free narrative	o	o	l	-	0	0	95.980	96.036	96.098	96.149	77.26	76.56	76.15	76.93	70.62	0.1	125.00	46.76	250.00	44.27	390.62	43.99	1046.88	37.65	0.5	125.00	46.23	261.57	45.24	390.62	45.93	1046.88	33.76	0.9	125.00	45.83	250.00	45.45	390.62	47.79	1031.25	34.32
35_M35_free_narr	13	M35	beqoloɢasːi	Free narrative	o	o	l	-	0	0	101.995	102.038	102.104	102.152	78.19	75.54	75.59	76.16	70.62	0.1	125.00	45.03	240.54	45.03	359.38	44.30	968.75	35.94	0.5	125.00	43.02	240.79	44.44	359.38	46.74	968.75	35.16	0.9	125.00	41.84	245.59	44.73	375.00	45.67	968.75	35.74
