file	token_code	speaker	word	prodType	sound	vowel_place	interval_middle	interval_dur	interval_intensity
14_F45_free_narr	1	F45	hilˀa	Free narrative	i	left	11.747005624818382	0.0059609665222453145	65.40219791660861
14_F45_free_narr	1	F45	hilˀa	Free narrative	i	left	11.752907443607832	0.005842671056653259	66.14046954448229
14_F45_free_narr	1	F45	hilˀa	Free narrative	i	left	11.758800542420875	0.005943526569433644	66.37729572395494
14_F45_free_narr	1	F45	hilˀa	Free narrative	i	left	11.764827413503934	0.006110215596685009	66.71044328864045
14_F45_free_narr	1	F45	hilˀa	Free narrative	i	left	11.770822284091818	0.005879525579080891	67.53340831742693
14_F45_free_narr	1	F45	hilˀa	Free narrative	i	left	11.77672594489389	0.005927796025067877	68.86353738536032
14_F45_free_narr	1	F45	hilˀa	Free narrative	i	left	11.782534425832358	0.005689165851865852	70.29866999601536
14_F45_free_narr	1	F45	hilˀa	Free narrative	i	left	11.788175302312771	0.0055925871089606005	71.61536167721682
14_F45_free_narr	1	F45	hilˀa	Free narrative	i	left	11.793750243105709	0.005557294476915331	72.65537614939672
14_F45_free_narr	1	F45	hilˀa	Free narrative	i	left	11.799398093361923	0.0057384060355119	73.2758878050104
14_F45_free_narr	1	F45	hilˀa	Free narrative	i	left	11.805228517874944	0.005922442990531351	73.49387041517143
14_F45_free_narr	1	F45	hilˀa	Free narrative	i	left	11.81117039729635	0.005961315852278659	73.22634364413052
14_F45_free_narr	1	F45	hilˀa	Free narrative	i	left	11.817160537521689	0.006018964598400345	72.3900260314755
14_F45_free_narr	1	F45	hilˀa	Free narrative	i	left	11.823290610130732	0.0062411806196855935	70.93001502349581
14_F45_free_narr	1	F45	hilˀa	Free narrative	lˀ	-	11.829805707566045	0.006789014250943026	69.63595711280122
14_F45_free_narr	1	F45	hilˀa	Free narrative	lˀ	-	11.83657144739228	0.006742465401524456	69.31733862847206
14_F45_free_narr	1	F45	hilˀa	Free narrative	lˀ	-	11.843194355757666	0.006503351329246954	70.09554923483105
14_F45_free_narr	1	F45	hilˀa	Free narrative	lˀ	-	11.849813565459861	0.006735068075144568	70.94846393658385
14_F45_free_narr	1	F45	hilˀa	Free narrative	lˀ	-	11.85647345189361	0.006584704792354401	71.85563964131997
14_F45_free_narr	1	F45	hilˀa	Free narrative	lˀ	-	11.862894958495453	0.006258308411329239	72.17429677218134
14_F45_free_narr	1	F45	hilˀa	Free narrative	lˀ	-	11.869304633551781	0.006561041701328207	72.01001206586338
14_F45_free_narr	1	F45	hilˀa	Free narrative	lˀ	-	11.875918639283821	0.006666969762749275	71.937522469884
14_F45_free_narr	1	F45	hilˀa	Free narrative	a	right	11.882655394923624	0.006806541516860776	72.86647842363544
14_F45_free_narr	1	F45	hilˀa	Free narrative	a	right	11.889307858180853	0.006498384997595252	73.9857649852218
14_F45_free_narr	1	F45	hilˀa	Free narrative	a	right	11.895980899713349	0.006847698067396379	74.54504972056813
14_F45_free_narr	1	F45	hilˀa	Free narrative	a	right	11.902755317619249	0.006701137744403951	74.94027576880774
14_F45_free_narr	1	F45	hilˀa	Free narrative	a	right	11.909421564363681	0.006631355744460166	75.37018185900767
14_F45_free_narr	1	F45	hilˀa	Free narrative	a	right	11.91598684606276	0.006499207653696715	75.68884025117423
