file	token_code	speaker	word	prodType	v1	v2	consonant	creakType	creakStart	creakEnd	V1start	Cstart	V2start	V2end	v1_max_int	c_min_int	v2_max_int	c_mean_int	c_mean_int_norm	left_point	f0_left_hz	f0_left_db	h2_left_hz	h2_left_db	a1_left_hz	a1_left_db	a2_left_hz	a2_left_db	mid_point	f0_mid_hz	f0_mid_db	h2_mid_hz	h2_mid_db	a1_mid_hz	a1_mid_db	a2_mid_hz	a2_mid_db	right_point	f0_right_hz	f0_right_db	h2_right_hz	h2_right_db	a1_right_hz	a1_right_db	a2_right_hz	a2_right_db
08_M69_free_narr	1	M69	položenijalo	Free narrative	o	o	l	-	0	0	4.912	4.966	5.035	5.114	78.01	73.95	74.72	75.02	70.32	0.1	125.00	30.75	247.80	42.41	375.00	44.63	984.38	26.52	0.5	125.00	36.49	260.16	46.10	390.62	46.23	1000.00	21.21	0.9	140.62	38.42	279.47	42.18	421.88	46.08	812.50	29.98
08_M69_free_narr	2	M69	položenijalo	Free narrative	a	o	l	-	0	0	5.448	5.519	5.616	5.897	76.20	74.30	75.64	74.94	69.25	0.1	125.00	31.06	247.10	47.38	250.00	47.38	875.00	17.27	0.5	125.00	31.76	242.59	42.84	359.38	46.02	984.38	13.91	0.9	125.00	33.57	247.76	45.34	375.00	46.30	984.38	18.68
08_M69_free_narr	3	M69	udoblolˀa	Free narrative	o	a	lˀ	creak	16.237	16.292	16.070	16.145	16.284	16.375	78.66	69.37	75.13	73.73	68.93	0.1	140.62	40.03	271.46	48.82	265.62	48.82	968.75	21.34	0.5	125.00	17.85	252.10	45.95	250.00	45.95	1015.62	25.47	0.9	218.75	38.63	402.50	38.79	250.00	40.85	906.25	17.88
08_M69_free_narr	4	M69	ust’ululˀa	Free narrative	u	a	lˀ	-	0	0	20.981	21.030	21.090	21.151	74.89	72.82	74.41	73.86	69.03	0.1	140.62	35.63	273.82	43.49	265.62	43.49	968.75	25.43	0.5	140.62	36.06	263.58	45.01	265.62	45.01	1062.50	27.37	0.9	125.00	29.63	254.06	44.32	250.00	44.32	1031.25	32.48
08_M69_free_narr	5	M69	ilajmalɬbolo	Free narrative	i	a	l	-	0	0	37.104	37.144	37.238	37.330	77.07	72.44	76.11	74.81	68.70	0.1	140.62	38.85	275.87	48.76	281.25	48.76	1109.38	8.77	0.5	140.62	40.17	280.67	47.61	281.25	47.61	1390.62	26.35	0.9	140.62	42.11	281.25	38.37	437.50	44.56	1281.25	37.11
08_M69_free_narr	6	M69	ilajmalɬbolo	Free narrative	o	o	l	-	0	0	37.761	37.839	37.946	38.145	76.52	75.51	76.86	76.49	69.82	0.1	125.00	31.23	250.00	46.48	359.38	45.31	1000.00	16.91	0.5	125.00	28.99	241.55	47.85	250.00	47.85	968.75	22.87	0.9	125.00	31.28	250.00	46.15	375.00	47.06	968.75	16.75
08_M69_free_narr	7	M69	helč’ulo	Free narrative	u	o	l	-	0	0	40.585	40.619	40.690	40.748	78.81	76.47	74.68	77.22	72.79	0.1	156.25	40.89	317.56	48.70	312.50	48.70	1265.62	26.99	0.5	156.25	42.63	308.41	51.34	312.50	51.34	1062.50	33.67	0.9	140.62	39.91	305.75	48.55	296.88	48.55	1031.25	32.68
08_M69_free_narr	8	M69	bulˀonoq	Free narrative	u	o	lˀ	creak	45.838	45.856	45.714	45.773	45.875	45.931	77.26	68.11	77.35	72.67	64.99	0.1	187.50	41.46	377.89	42.97	359.38	42.97	921.88	17.86	0.5	187.50	36.32	360.62	47.92	359.38	47.92	859.38	19.92	0.9	156.25	35.09	321.60	44.42	328.12	44.42	968.75	31.16
08_M69_free_narr	9	M69	hilˀolč’ilo	Free narrative	i	o	lˀ	creak	46.639	46.663	46.520	46.596	46.690	46.769	77.99	66.82	77.63	71.82	64.41	0.1	140.62	39.94	271.88	48.30	265.62	48.30	1421.88	5.07	0.5	140.62	35.86	258.80	38.66	265.62	38.66	1125.00	10.82	0.9	140.62	39.48	306.76	47.81	296.88	47.81	1187.50	23.34
08_M69_free_narr	10	M69	hilˀolč’ilo	Free narrative	i	o	l	-	0	0	46.984	47.020	47.121	47.318	73.04	68.69	76.07	72.64	66.10	0.1	140.62	38.38	283.01	38.17	265.62	38.17	1640.62	17.00	0.5	140.62	36.46	274.03	44.94	281.25	44.94	1093.75	15.30	0.9	140.62	39.41	278.12	48.52	281.25	48.52	1093.75	27.33
08_M69_free_narr	11	M69	beršolˀa	Free narrative	o	a	lˀ	creak	49.009	49.043	48.916	48.965	49.043	49.096	79.37	69.17	77.09	71.65	64.58	0.1	125.00	26.79	234.25	34.35	437.50	43.04	1093.75	19.00	0.5	140.62	32.56	271.22	43.92	265.62	43.92	1015.62	15.97	0.9	125.00	25.81	243.99	41.70	234.38	41.70	1078.12	20.99
08_M69_free_narr	12	M69	čalulo	Free narrative	a	u	l	-	0	0	58.431	58.489	58.561	58.630	77.47	74.15	76.22	75.89	69.46	0.1	125.00	30.18	233.97	43.45	234.38	43.45	859.38	18.11	0.5	125.00	35.27	249.75	49.56	250.00	49.56	875.00	16.94	0.9	125.00	37.50	250.00	48.21	390.62	41.84	1390.62	14.63
08_M69_free_narr	13	M69	čalulo	Free narrative	u	o	l	-	0	0	58.561	58.630	58.715	58.912	77.54	73.30	75.68	75.74	70.43	0.1	125.00	36.07	259.51	45.73	265.62	45.73	1031.25	17.63	0.5	125.00	36.58	257.21	49.45	250.00	49.45	1031.25	18.48	0.9	125.00	36.63	265.99	46.22	406.25	48.72	1046.88	20.61
08_M69_free_narr	14	M69	čalulojd	Free narrative	a	u	l	-	0	0	64.760	64.821	64.895	64.949	78.19	73.19	77.15	75.24	67.84	0.1	109.38	32.78	231.63	44.55	453.12	46.98	1078.12	20.36	0.5	125.00	35.98	243.76	46.57	234.38	46.57	968.75	18.57	0.9	125.00	38.82	256.93	49.43	250.00	49.43	1015.62	15.51
08_M69_free_narr	15	M69	čalulojd	Free narrative	u	o	l	-	0	0	64.895	64.949	65.038	65.118	77.84	74.17	78.34	75.58	67.26	0.1	125.00	36.80	250.00	48.29	359.38	40.28	1390.62	16.65	0.5	140.62	38.71	267.28	48.31	265.62	48.31	1375.00	19.97	0.9	140.62	38.78	281.25	47.77	421.88	42.54	1359.38	20.11
08_M69_free_narr	16	M69	wolˀon	Free narrative	o	o	lˀ	creak	84.401	84.438	84.321	84.368	84.478	84.574	78.18	65.19	76.45	69.24	62.51	0.1	125.00	26.68	233.34	39.51	343.75	41.15	968.75	21.47	0.5	140.62	27.39	273.36	36.71	468.75	39.14	953.12	17.70	0.9	125.00	32.15	250.70	36.89	375.00	42.31	984.38	20.36
08_M69_free_narr	17	M69	čeleklojd	Free narrative	e	e	l	-	0	0	90.833	90.882	90.953	91.021	77.78	74.85	76.34	75.27	69.33	0.1	125.00	32.57	250.00	45.36	359.38	45.53	1812.50	18.17	0.5	125.00	35.17	254.07	47.06	250.00	47.06	1515.62	22.74	0.9	125.00	34.88	250.00	46.02	375.00	44.95	1515.62	27.09
08_M69_free_narr	18	M69	t’ebt’elollo	Free narrative	e	o	l	-	0	0	91.694	91.744	91.822	91.891	70.88	70.21	76.56	73.52	67.23	0.1	125.00	34.71	244.14	44.14	250.00	44.14	1296.88	25.56	0.5	125.00	36.85	267.75	45.30	265.62	45.30	1546.88	19.08	0.9	125.00	38.27	264.74	48.43	265.62	48.43	1140.62	22.53
08_M69_free_narr	19	M69	čelekʷaq	Free narrative	e	e	l	-	0	0	93.508	93.552	93.609	93.672	76.38	73.87	76.02	76.08	69.76	0.1	125.00	36.76	233.05	45.41	234.38	45.41	1406.25	21.45	0.5	125.00	37.28	246.45	49.56	250.00	49.56	1343.75	26.09	0.9	125.00	36.33	251.42	46.80	375.00	47.80	1359.38	25.02
08_M69_free_narr	20	M69	hinc’olˀa	Free narrative	o	a	lˀ	creak	97.978	98.013	97.704	97.888	98.022	98.251	77.76	62.64	70.30	67.84	67.12	0.1	109.38	30.04	230.38	44.56	234.38	44.56	937.50	17.94	0.5	109.38	25.05	210.36	20.93	312.50	36.17	968.75	16.45	0.9	93.75	20.63	173.83	27.32	234.38	33.88	1046.88	8.98
08_M69_free_narr	21	M69	wolˀon	Free narrative	o	o	lˀ	-	0	0	104.042	104.096	104.177	104.240	77.37	66.14	76.10	69.51	63.29	0.1	109.38	31.58	222.38	32.19	312.50	39.40	1531.25	22.65	0.5	109.38	23.71	220.37	33.73	328.12	42.10	1093.75	19.79	0.9	109.38	26.66	222.97	34.58	343.75	35.04	1437.50	15.71
08_M69_free_narr	22	M69	hawroχilˀa	Free narrative	i	a	lˀ	creak	106.708	106.756	106.591	106.633	106.756	107.005	77.41	65.25	73.16	68.02	65.04	0.1	125.00	21.52	244.22	38.07	234.38	38.07	1421.88	16.18	0.5	125.00	2.94	228.46	35.39	343.75	36.66	1312.50	12.63	0.9	78.12	21.97	166.02	24.64	421.88	38.80	1359.38	12.64
08_M69_free_narr	23	M69	bulˀonoq	Free narrative	u	o	lˀ	noisy	116.356	116.382	116.251	116.292	116.407	116.459	78.78	60.74	78.00	67.46	59.08	0.1	156.25	42.95	320.33	44.04	312.50	44.04	953.12	25.22	0.5	156.25	29.16	332.01	27.74	468.75	35.73	921.88	16.04	0.9	156.25	35.11	311.65	34.69	468.75	39.65	1000.00	16.48
08_M69_free_narr	24	M69	horsatilˀa	Free narrative	i	a	lˀ	-	0	0	121.319	121.371	121.526	121.672	79.05	68.65	75.44	71.93	66.10	0.2	140.62	40.30	279.61	46.32	281.25	46.32	1390.62	14.85	0.5	140.62	36.80	275.94	41.83	281.25	41.83	1359.38	19.37	0.9	125.00	27.18	259.58	42.20	250.00	42.20	1140.62	17.91
08_M69_free_narr	25	M69	uškula	Free narrative	u	a	l	-	0	0	122.574	122.631	122.737	122.811	77.70	73.22	74.83	74.31	69.43	0.1	125.00	30.01	250.00	44.17	343.75	38.09	1000.00	23.94	0.5	109.38	24.83	240.76	46.09	234.38	46.09	984.38	25.17	0.9	125.00	27.88	250.00	46.08	375.00	37.45	1062.50	23.77
08_M69_free_narr	26	M69	balʼorallo	Free narrative	a	o	lˀ	creak	139.169	139.187	139.000	139.100	139.195	139.259	76.70	64.67	74.70	68.79	64.38	0.1	109.38	29.27	218.75	42.41	421.88	31.85	1031.25	18.37	0.5	109.38	10.18	236.13	38.89	359.38	33.28	937.50	21.12	0.9	109.38	27.21	218.75	34.56	453.12	38.51	984.38	19.09
08_M69_free_narr	27	M69	uškula	Free narrative	u	a	l	-	0	0	140.900	140.959	141.044	141.137	67.04	62.06	61.18	63.22	72.33	0.1	93.75	35.06	176.07	30.14	265.62	26.02	968.75	11.85	0.5	93.75	34.86	194.08	30.03	234.38	23.05	937.50	4.87	0.9	93.75	33.76	194.23	31.36	484.38	25.19	1046.88	2.19
08_M69_free_narr	28	M69	wolˀon	Free narrative	o	o	lˀ	-	0	0	383.470	383.532	383.607	383.667	78.06	68.76	75.64	70.83	64.94	0.1	140.62	37.16	281.25	35.83	421.88	45.34	1015.62	23.38	0.5	140.62	34.55	280.80	25.81	421.88	41.31	1000.00	28.92	0.9	140.62	34.43	281.25	36.08	421.88	42.52	1031.25	21.02
08_M69_free_narr	29	M69	bilolˀojd	Free narrative	i	o	l	-	0	0	383.765	383.826	383.907	383.981	78.85	72.66	76.31	73.77	67.01	0.2	125.00	31.39	245.05	45.75	234.38	45.75	1343.75	15.02	0.5	125.00	33.75	242.43	47.90	234.38	47.90	1187.50	18.25	0.9	125.00	34.87	250.35	44.00	250.00	44.00	1203.12	23.72
08_M69_free_narr	30	M69	bilolˀojd	Free narrative	o	o	lˀ	creak	384.005	384.036	383.907	383.981	384.052	384.179	77.26	65.68	74.01	69.17	65.38	0.1	125.00	29.84	249.45	41.75	375.00	43.01	1031.25	24.13	0.5	156.25	22.49	332.82	31.16	390.62	36.41	1109.38	20.88	0.9	109.38	21.65	237.35	35.51	375.00	43.43	1046.88	25.26
08_M69_free_narr	31	M69	bilolˀakːuχarid	Free narrative	o	a	lˀ	-	0	0	384.431	384.478	384.537	384.584	74.05	68.92	72.16	70.16	67.66	0.1	125.00	31.00	230.34	41.80	234.38	41.80	1187.50	23.62	0.5	125.00	24.77	241.99	40.42	234.38	40.42	1078.12	20.57	0.9	125.00	18.46	236.21	33.07	359.38	39.95	1031.25	22.25
