file	token_code	speaker	word	prodType	sound	vowel_place	interval_middle	interval_dur	interval_intensity
82_M75_free_narr	1	M75	ilajma	Free narrative	i	left	88.60938230330937	0.0059810697955811065	74.51967570990718
82_M75_free_narr	1	M75	ilajma	Free narrative	i	left	88.6152904246753	0.005835172936258459	75.85251220821648
82_M75_free_narr	1	M75	ilajma	Free narrative	i	left	88.62134759487941	0.006279167471959113	76.76912912577595
82_M75_free_narr	1	M75	ilajma	Free narrative	i	left	88.62768533208595	0.006396306941141461	76.94919974297615
82_M75_free_narr	1	M75	ilajma	Free narrative	i	left	88.63422403888141	0.006681106649779167	76.04588326786961
82_M75_free_narr	1	M75	ilajma	Free narrative	l	-	88.64111591947761	0.007102654542620712	74.33300568485443
82_M75_free_narr	1	M75	ilajma	Free narrative	l	-	88.64806039755194	0.006786301606027223	73.05130483350236
82_M75_free_narr	1	M75	ilajma	Free narrative	l	-	88.65483168491315	0.006756273116380385	72.65556168680308
82_M75_free_narr	1	M75	ilajma	Free narrative	l	-	88.66161110121143	0.0068025594802065825	72.69636100395114
82_M75_free_narr	1	M75	ilajma	Free narrative	l	-	88.66841300399278	0.006801246082474677	73.04603786891515
82_M75_free_narr	1	M75	ilajma	Free narrative	l	-	88.67519612305762	0.006764992047223473	73.74871664534373
82_M75_free_narr	1	M75	ilajma	Free narrative	l	-	88.68190757260572	0.006657907048989387	74.70713956007273
82_M75_free_narr	1	M75	ilajma	Free narrative	l	-	88.68854387311916	0.006614693977880393	75.934447862402
82_M75_free_narr	1	M75	ilajma	Free narrative	l	-	88.69505341787556	0.0064043955349006865	77.35159126275713
82_M75_free_narr	1	M75	ilajma	Free narrative	a	right	88.7015037821957	0.006496333105388885	78.56128076625082
82_M75_free_narr	1	M75	ilajma	Free narrative	a	right	88.70794355922092	0.006383220945039625	79.40640913927442
82_M75_free_narr	1	M75	ilajma	Free narrative	a	right	88.71427843729833	0.006286535209795829	79.75768729519307
82_M75_free_narr	1	M75	ilajma	Free narrative	a	right	88.7204994878085	0.006155565810530561	79.42327747605458
82_M75_free_narr	1	M75	ilajma	Free narrative	a	right	88.72662993070111	0.006105319974693657	78.40197205702921
82_M75_free_narr	1	M75	ilajma	Free narrative	a	right	88.73277344711207	0.006181712847222798	77.15257136095339
82_M75_free_narr	1	M75	ilajma	Free narrative	a	right	88.73897041037489	0.006212213678409739	76.06847219294
82_M75_free_narr	1	M75	ilajma	Free narrative	a	right	88.74517123695895	0.00618943948973083	75.54973921380171
82_M75_free_narr	1	M75	ilajma	Free narrative	a	right	88.75136834540753	0.00620477740741876	75.33401012451858
82_M75_free_narr	1	M75	ilajma	Free narrative	a	right	88.75755138558297	0.006161302943468172	75.24733882446895
82_M75_free_narr	1	M75	ilajma	Free narrative	a	right	88.76370047553146	0.006136876953519277	75.22993820023221
82_M75_free_narr	1	M75	ilajma	Free narrative	a	right	88.76982986501679	0.006121902017113712	75.25625823842181
82_M75_free_narr	1	M75	ilajma	Free narrative	a	right	88.77594855239067	0.006115472730670035	75.25794411559646
82_M75_free_narr	1	M75	ilajma	Free narrative	a	right	88.78205788577807	0.006103194044115412	75.19252276823383
