file	token_code	speaker	word	prodType	v1	v2	consonant	creakType	creakStart	creakEnd	V1start	Cstart	V2start	V2end	v1_max_int	c_min_int	v2_max_int	c_mean_int	c_mean_int_norm	left_point	f0_left_hz	f0_left_db	h2_left_hz	h2_left_db	a1_left_hz	a1_left_db	a2_left_hz	a2_left_db	mid_point	f0_mid_hz	f0_mid_db	h2_mid_hz	h2_mid_db	a1_mid_hz	a1_mid_db	a2_mid_hz	a2_mid_db	right_point	f0_right_hz	f0_right_db	h2_right_hz	h2_right_db	a1_right_hz	a1_right_db	a2_right_hz	a2_right_db
F30_ind_wrd_carr_phr	1	F30	q'ali	1	a	i	l	-	0	0	1.931	2.069	2.186	2.310	69.15	65.00	67.94	66.43	68.58	0.1	187.50	36.03	375.00	36.86	390.62	33.18	1796.88	7.76	0.5	171.88	35.89	352.73	37.07	359.38	37.07	1953.12	8.90	0.9	187.50	36.96	375.00	37.07	359.38	37.07	2000.00	8.46
F30_ind_wrd_carr_phr	2	F30	q'ali	2	a	i	l	-	0	0	3.129	3.278	3.398	3.531	69.17	56.15	67.50	60.42	62.52	0.1	171.88	30.68	343.75	32.03	328.12	32.03	1734.38	-0.99	0.5	171.88	30.58	345.48	32.03	343.75	32.03	1906.25	-0.98	0.9	171.88	27.43	343.75	26.53	375.00	26.53	1890.62	-1.73
F30_ind_wrd_carr_phr	3	F30	q'ali	3	a	i	l	-	0	0	4.297	4.458	4.586	4.734	69.41	60.83	66.39	63.68	66.79	0.1	187.50	35.54	375.00	37.06	359.38	37.06	1812.50	1.49	0.5	171.88	33.39	343.30	35.84	343.75	35.84	1890.62	-2.96	0.9	156.25	29.92	312.50	32.44	328.12	32.44	2093.75	-1.20
F30_ind_wrd_carr_phr	4	F30	q'ali	Carrier phrase	a	i	l	-	0	0	6.125	6.238	6.321	6.401	66.86	58.98	66.37	60.47	64.48	0.1	171.88	31.03	343.75	32.93	343.75	32.93	1718.75	1.92	0.5	171.88	29.85	341.41	30.79	343.75	30.79	1890.62	0.71	0.9	171.88	30.87	343.75	32.19	406.25	27.45	1906.25	7.90
F30_ind_wrd_carr_phr	5	F30	lˀala	1	a	a	l	-	0	0	23.696	23.864	23.970	24.134	69.27	68.28	65.60	68.96	73.11	0.1	203.12	35.50	406.25	38.74	593.75	37.49	1015.62	28.69	0.5	203.12	35.78	397.48	39.53	406.25	39.53	1000.00	28.79	0.9	187.50	34.85	375.00	36.88	562.50	41.07	1125.00	23.70
F30_ind_wrd_carr_phr	6	F30	lˀala	2	a	a	l	-	0	0	24.849	25.011	25.147	25.316	68.77	66.27	67.82	67.40	69.18	0.1	171.88	33.55	343.75	35.91	515.62	39.41	1046.88	24.22	0.5	171.88	33.65	349.12	36.75	531.25	35.14	906.25	17.13	0.9	171.88	33.37	343.75	35.70	546.88	39.79	1093.75	25.48
F30_ind_wrd_carr_phr	7	F30	lˀala	3	a	a	l	-	0	0	25.923	26.063	26.183	26.294	69.02	64.17	62.97	65.36	72.15	0.1	171.88	33.39	343.75	33.94	515.62	37.42	1187.50	20.38	0.5	171.88	31.96	330.46	33.43	500.00	34.39	1000.00	14.38	0.9	156.25	32.76	312.50	33.52	500.00	34.95	1156.25	21.09
F30_ind_wrd_carr_phr	8	F30	lˀala	Carrier phrase	a	a	l	-	0	0	27.666	27.776	27.878	28.003	68.91	66.58	67.02	66.95	69.48	0.1	171.88	33.33	343.75	35.43	484.38	35.73	1140.62	24.44	0.5	171.88	32.99	331.68	35.51	500.00	38.44	1000.00	20.56	0.9	171.88	32.15	343.75	33.59	515.62	38.65	1015.62	24.58
F30_ind_wrd_carr_phr	9	F30	ila	1	i	a	l	-	0	0	30.783	30.918	31.037	31.198	71.54	60.56	65.73	67.08	71.58	0.2	171.88	33.55	370.29	21.28	375.00	21.28	1703.12	8.64	0.5	187.50	41.27	383.80	39.39	390.62	39.39	1718.75	5.75	0.9	171.88	38.60	361.10	36.34	359.38	36.34	1781.25	11.54
F30_ind_wrd_carr_phr	10	F30	ila	2	i	a	l	-	0	0	31.929	32.055	32.187	32.360	66.65	61.40	67.80	65.34	67.19	0.2	187.50	34.05	367.35	29.70	375.00	29.70	1812.50	-6.48	0.5	187.50	38.04	384.99	37.67	390.62	37.67	1921.88	12.08	0.9	187.50	37.55	407.68	37.45	406.25	37.45	1937.50	16.98
