file	token_code	speaker	word	prodType	v1	v2	consonant	creakType	creakStart	creakEnd	V1start	Cstart	V2start	V2end	v1_max_int	c_min_int	v2_max_int	c_mean_int	c_mean_int_norm	left_point	f0_left_hz	f0_left_db	h2_left_hz	h2_left_db	a1_left_hz	a1_left_db	a2_left_hz	a2_left_db	mid_point	f0_mid_hz	f0_mid_db	h2_mid_hz	h2_mid_db	a1_mid_hz	a1_mid_db	a2_mid_hz	a2_mid_db	right_point	f0_right_hz	f0_right_db	h2_right_hz	h2_right_db	a1_right_hz	a1_right_db	a2_right_hz	a2_right_db
M60_ind_wrd_carr_phr	1	M60	q'ali	1	a	i	l	-	0	0	12.349	12.529	12.635	12.861	74.42	59.72	69.12	61.59	62.27	0.1	140.62	26.29	283.16	34.10	281.25	34.10	1500.00	10.18	0.5	140.62	28.52	283.06	31.87	281.25	31.87	1718.75	12.57	0.9	125.00	29.00	267.96	32.88	265.62	32.88	1828.12	15.47
M60_ind_wrd_carr_phr	2	M60	q'ali	2	a	i	l	-	0	0	13.493	13.673	13.782	14.042	73.34	62.11	66.13	63.50	67.16	0.1	125.00	25.67	253.46	35.11	250.00	35.11	1515.62	17.19	0.5	125.00	26.33	241.89	36.14	234.38	36.14	1703.12	13.86	0.9	109.38	26.95	225.88	36.67	234.38	36.67	1812.50	11.97
M60_ind_wrd_carr_phr	3	M60	q'ali	3	a	i	l	-	0	0	14.469	14.609	14.679	14.757	73.24	62.56	68.04	63.92	65.98	0.1	109.38	24.61	214.65	31.79	437.50	33.03	1484.38	19.72	0.5	125.00	26.05	231.67	35.35	234.38	35.35	1656.25	11.09	0.9	109.38	26.10	235.27	35.40	218.75	35.40	1687.50	16.30
M60_ind_wrd_carr_phr	4	M60	q'ali	Carrier phrase	a	i	l	-	0	0	15.571	15.661	15.731	15.786	72.09	67.40	69.67	68.01	68.09	0.1	109.38	27.42	207.40	33.00	406.25	34.21	1453.12	20.80	0.5	125.00	29.46	234.06	38.16	343.75	39.65	1546.88	15.75	0.9	125.00	30.19	243.22	38.20	234.38	38.20	1625.00	15.82
M60_ind_wrd_carr_phr	5	M60	lˀala	1	a	a	l	-	0	0	44.745	44.911	45.006	45.213	75.17	65.53	67.51	66.33	68.44	0.1	203.12	25.13	389.60	38.03	390.62	38.03	1171.88	24.28	0.5	187.50	25.58	359.63	38.91	359.38	38.91	1093.75	25.75	0.9	156.25	26.94	316.06	38.17	312.50	38.17	1093.75	23.94
M60_ind_wrd_carr_phr	6	M60	lˀala	2	a	a	l	-	0	0	45.961	46.159	46.275	46.519	76.03	65.68	65.61	67.19	71.81	0.1	187.50	24.92	363.28	37.24	359.38	37.24	1093.75	25.21	0.5	156.25	27.38	308.46	39.01	312.50	39.01	937.50	21.79	0.9	125.00	25.26	255.74	34.45	390.62	37.84	1000.00	28.51
M60_ind_wrd_carr_phr	7	M60	lˀala	3	a	a	l	-	0	0	47.089	47.265	47.372	47.488	75.93	60.91	67.33	62.70	65.26	0.1	171.88	21.38	328.64	28.79	484.38	32.84	1000.00	21.25	0.5	156.25	23.26	311.31	32.79	312.50	32.79	1078.12	19.19	0.9	125.00	21.55	253.28	28.93	515.62	34.09	1125.00	24.65
M60_ind_wrd_carr_phr	8	M60	lˀala	Carrier phrase	a	a	l	-	0	0	48.232	48.356	48.431	48.522	69.68	65.20	69.17	66.08	66.73	0.1	171.88	21.16	341.35	29.64	500.00	35.43	1031.25	26.36	0.5	171.88	23.51	347.34	35.10	515.62	35.80	1046.88	27.67	0.9	171.88	26.67	350.44	38.33	359.38	38.33	1062.50	30.05
M60_ind_wrd_carr_phr	9	M60	ila	1	i	a	l	-	0	0	53.845	53.979	54.094	54.290	76.75	59.72	68.93	67.67	69.15	0.2	171.88	32.40	343.75	32.52	343.75	32.52	1734.38	15.84	0.5	171.88	34.42	338.87	41.53	343.75	41.53	1687.50	21.55	0.9	140.62	30.31	281.25	38.39	453.12	45.36	1562.50	30.06
M60_ind_wrd_carr_phr	10	M60	ila	2	i	a	l	-	0	0	54.908	55.047	55.147	55.366	71.25	57.72	68.20	66.09	68.08	0.2	171.88	31.21	343.75	25.67	343.75	25.67	1734.38	-2.38	0.5	156.25	34.57	323.93	40.81	328.12	40.81	1578.12	15.54	0.9	140.62	31.44	281.25	40.08	437.50	41.51	1531.25	27.58
M60_ind_wrd_carr_phr	11	M60	ila	3	i	a	l	-	0	0	55.946	56.090	56.198	56.394	77.21	62.98	65.42	69.00	73.73	0.2	187.50	36.50	375.00	35.98	359.38	35.98	1750.00	12.36	0.5	156.25	33.18	313.16	43.91	312.50	43.91	1703.12	17.05	0.9	140.62	31.10	281.25	41.39	406.25	42.36	1562.50	28.98
M60_ind_wrd_carr_phr	12	M60	ila	Carrier phrase	i	a	l	-	0	0	59.664	59.724	59.797	59.879	69.66	60.40	69.55	67.46	67.43	0.05	109.38	26.13	224.53	35.34	234.38	35.34	1984.38	9.75	0.5	125.00	31.43	246.76	39.33	359.38	38.31	1578.12	17.75	0.9	125.00	31.70	250.00	36.63	453.12	40.39	1515.62	27.79
M60_ind_wrd_carr_phr	13	M60	rolˀal	1	o	a	lˀ	creaky	64.419	64.483	64.243	64.368	64.483	64.683	73.06	62.62	69.32	67.53	68.14	0.1	187.50	30.70	375.00	45.28	375.00	45.24	937.50	24.10	0.5	125.00	20.31	246.18	31.18	375.00	35.95	1031.25	18.02	0.9	109.38	17.08	218.75	27.03	546.88	36.37	1046.88	26.42
M60_ind_wrd_carr_phr	14	M60	rolˀal	2	o	a	lˀ	creaky	65.435	65.512	65.271	65.384	65.512	65.749	72.75	64.18	69.14	67.53	68.07	0.1	187.50	29.76	375.00	42.64	359.38	42.64	1109.38	15.76	0.5	78.12	4.78	144.56	20.64	312.50	37.83	1015.62	18.86	0.9	78.12	10.73	156.25	23.75	390.62	33.47	1093.75	22.21
M60_ind_wrd_carr_phr	15	M60	rolˀal	3	o	a	lˀ	creaky	66.446	66.512	66.284	66.405	66.521	66.728	72.31	63.47	69.07	66.13	67.55	0.1	187.50	29.47	375.00	41.38	375.00	39.92	1093.75	17.40	0.5	125.00	16.24	247.30	27.79	312.50	37.69	1078.12	17.97	0.9	109.38	17.76	218.75	28.87	390.62	31.51	1078.12	21.00
M60_ind_wrd_carr_phr	16	M60	rolˀal	Carrier phrase	o	a	lˀ	creaky	70.194	70.214	70.071	70.141	70.214	70.293	70.00	65.90	69.28	67.12	68.23	0.1	125.00	22.02	231.33	31.06	343.75	36.35	1046.88	22.75	0.5	109.38	20.28	222.41	30.68	343.75	37.21	890.62	23.94	0.9	93.75	16.92	182.67	26.96	453.12	39.07	984.38	26.35
M60_ind_wrd_carr_phr	17	M60	relˀa	1	e	a	lˀ	creaky	72.902	72.973	72.674	72.847	72.960	73.186	72.39	58.05	68.90	62.41	63.64	0.2	156.25	27.59	312.50	36.24	312.50	36.24	1546.88	13.48	0.5	78.12	11.28	162.19	22.65	312.50	33.44	1453.12	16.37	0.9	62.50	-1.36	125.00	10.01	468.75	34.86	1390.62	14.05
M60_ind_wrd_carr_phr	18	M60	relˀa	2	e	a	lˀ	creaky	74.066	74.153	73.851	74.011	74.142	74.342	72.68	50.92	69.07	58.17	59.21	0.2	171.88	28.23	343.75	28.18	343.75	28.18	1562.50	9.42	0.5	93.75	12.65	175.20	21.57	250.00	27.91	1468.75	10.74	0.9	62.50	-1.34	125.00	9.65	531.25	32.57	1406.25	16.09
M60_ind_wrd_carr_phr	19	M60	relˀa	3	e	a	lˀ	creaky	75.135	75.236	74.937	75.082	75.218	75.393	72.00	53.42	68.55	58.18	59.53	0.1	187.50	30.74	375.00	23.53	359.38	23.53	1656.25	8.98	0.5	--undefined--	--undefined--	--undefined--	--undefined--	250.00	27.04	1562.50	9.74	0.9	62.50	4.03	125.00	16.34	546.88	33.87	1468.75	19.01
M60_ind_wrd_carr_phr	20	M60	relˀa	Carrier phrase	e	a	lˀ	creaky	77.688	77.790	77.603	77.688	77.773	77.887	70.98	59.76	69.00	63.74	64.71	0.1	62.50	-0.07	125.00	21.46	437.50	30.46	1656.25	10.75	0.5	62.50	6.32	115.16	20.64	281.25	34.96	1406.25	15.28	0.9	62.50	9.16	125.00	22.08	468.75	33.81	1265.62	19.10
M60_ind_wrd_carr_phr	21	M60	belˀora	1	e	o	lˀ	creaky	83.704	83.774	83.531	83.649	83.766	83.897	77.14	56.84	70.40	60.88	60.06	0.1	187.50	29.79	375.00	26.56	375.00	26.56	1718.75	10.39	0.5	109.38	7.75	202.62	21.62	312.50	29.63	1562.50	14.58	0.9	77.69	3.77	155.39	16.84	437.50	28.22	1312.50	17.06
M60_ind_wrd_carr_phr	22	M60	belˀora	2	e	o	lˀ	creaky	85.123	85.216	84.992	85.123	85.223	85.388	75.70	58.87	70.47	62.86	62.88	0.2	93.75	7.86	187.50	19.18	328.12	20.80	1546.88	12.19	0.5	187.50	24.00	346.56	29.77	328.12	29.77	1437.50	17.42	0.9	109.38	20.47	218.75	31.83	375.00	36.49	1343.75	22.20
M60_ind_wrd_carr_phr	23	M60	belˀora	3	e	o	lˀ	creaky	86.637	86.775	86.494	86.637	86.752	86.909	76.32	55.65	69.91	60.74	60.39	0.2	140.62	18.29	281.50	17.46	203.12	28.20	1671.88	2.05	0.5	62.50	-0.67	119.95	6.96	281.25	31.25	1625.00	10.85	0.9	78.12	7.38	160.48	20.08	328.12	35.86	1484.38	19.82
M60_ind_wrd_carr_phr	24	M60	belˀora	Carrier phrase	e	o	lˀ	creak	89.259	89.328	89.114	89.216	89.317	89.424	72.61	54.49	69.94	59.34	59.78	0.2	140.62	22.19	281.25	34.47	281.25	34.47	1671.88	14.27	0.5	93.75	8.09	195.95	21.79	296.88	30.87	1484.38	11.89	0.9	62.50	-10.15	125.00	8.26	359.38	21.39	1250.00	15.48
