file	token_code	speaker	word	prodType	sound	vowel_place	interval_middle	interval_dur	interval_intensity
09_M69_free_narr	1	M69	balˀib	Free narrative	a	left	19.82305455621902	0.009575577540285707	69.63064525993582
09_M69_free_narr	1	M69	balˀib	Free narrative	a	left	19.832617215743095	0.009549741507868248	70.58597421285073
09_M69_free_narr	1	M69	balˀib	Free narrative	a	left	19.84217519335983	0.009566213725602069	71.02127851104841
09_M69_free_narr	1	M69	balˀib	Free narrative	a	left	19.85159476583214	0.009272931219012293	71.74543219257077
09_M69_free_narr	1	M69	balˀib	Free narrative	a	left	19.8609082636535	0.009354064423714448	72.48204992545207
09_M69_free_narr	1	M69	balˀib	Free narrative	a	left	19.87028815729201	0.009405722853298215	72.79824979414855
09_M69_free_narr	1	M69	balˀib	Free narrative	a	left	19.87993501535057	0.009887993263824058	72.87830823397367
09_M69_free_narr	1	M69	balˀib	Free narrative	lˀ	-	19.88998684805852	0.010215672152078525	72.01695583077873
09_M69_free_narr	1	M69	balˀib	Free narrative	lˀ	-	19.899921964185957	0.009654560102799081	70.82697865349816
09_M69_free_narr	1	M69	balˀib	Free narrative	lˀ	-	19.909514102862797	0.009529717250877923	70.36120425200745
09_M69_free_narr	1	M69	balˀib	Free narrative	lˀ	-	19.918997545191537	0.00943716740660605	69.95190413454465
09_M69_free_narr	1	M69	balˀib	Free narrative	lˀ	-	19.930131038949817	0.01282982010995326	68.61185714732956
09_M69_free_narr	1	M69	balˀib	Free narrative	lˀ	-	19.942175693893894	0.011259489778197462	68.76606255590727
09_M69_free_narr	1	M69	balˀib	Free narrative	lˀ	-	19.95229142460809	0.008971971650201027	70.14789812162155
09_M69_free_narr	1	M69	balˀib	Free narrative	lˀ	-	19.960791187224075	0.008027553581761993	70.16709388185883
09_M69_free_narr	1	M69	balˀib	Free narrative	i	right	19.969290949840058	0.00897197165020458	70.52573199324434
09_M69_free_narr	1	M69	balˀib	Free narrative	i	right	19.978262921490263	0.00897197165020458	71.90483626191751
09_M69_free_narr	1	M69	balˀib	Free narrative	i	right	19.987470997657574	0.00944418068442232	72.72351684883213
09_M69_free_narr	1	M69	balˀib	Free narrative	i	right	19.99667907382489	0.00897197165020458	73.12923266233248
09_M69_free_narr	1	M69	balˀib	Free narrative	i	right	20.005178836440873	0.008027553581761993	74.1186747250207
09_M69_free_narr	1	M69	balˀib	Free narrative	i	right	20.013442494539746	0.008499762615983286	75.75459054828356
