file	token_code	speaker	word	prodType	sound	vowel_place	interval_middle	interval_dur	interval_intensity
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	a	left	5.51147039018656	0.005648210632531736	70.89498741240062
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	a	left	5.517147258940634	0.00570552687561765	71.54944315594152
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	a	left	5.522837033142876	0.005674021528865758	72.06525034216932
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	a	left	5.528517242684525	0.005686397554432787	72.3991660654545
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	a	left	5.534204991120553	0.005689099317622848	72.48026121041934
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	a	left	5.5398830302507704	0.00566697894281365	72.47041804918803
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	a	left	5.545509762198398	0.005586484952440962	72.45750861412591
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	a	left	5.5510822887654445	0.0055585681816507915	72.53584697936375
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	a	left	5.556620522954516	0.005517900196493564	72.62255209867408
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	a	left	5.5621349819191455	0.005511017732764856	72.63447814710464
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	a	left	5.5676344867271785	0.005487991883301291	72.47159341166251
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	a	left	5.573115254453853	0.005473543570048811	72.02192553313037
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	a	left	5.578565885185933	0.005427717894109563	71.36778536093463
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	a	left	5.583972821442685	0.00538615461939429	70.53843938753809
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	a	left	5.5893286105167315	0.005325423528699247	69.78010533408921
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	a	left	5.594673038334602	0.005363432107042598	69.10628023082641
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	a	left	5.60002269812639	0.0053358874765310205	68.50853630731886
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	a	left	5.605347710282275	0.005314136835240291	67.78972744427409
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	a	left	5.610662926854726	0.005316296309660906	67.08699336671798
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	a	left	5.615974479231818	0.005306808444523803	66.4635500797488
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	l	-	5.621313673442014	0.005371579975868457	66.02499584250248
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	l	-	5.626685219384795	0.005371511909693538	65.66289254153016
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	l	-	5.632057415018257	0.005372879357230076	65.36198558447117
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	l	-	5.637457725700066	0.005427742006387959	65.16174933360135
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	l	-	5.642860026349175	0.005376859291830627	65.00662080046347
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	l	-	5.648241365551996	0.0053858191138109746	64.8876162112678
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	l	-	5.653628205664173	0.00538786111054268	64.82051772046665
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	l	-	5.6589984086007235	0.005352544762558864	64.81509178415268
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	l	-	5.664327598281107	0.005305834598209103	64.89738128269153
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	l	-	5.669647224351647	0.005333417542869867	65.18774645860525
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	l	-	5.6749519584842005	0.005276050722238246	65.9993942222714
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	l	-	5.680203482186121	0.005226996681602536	67.37836294775326
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	l	-	5.6853980998247895	0.005162238595733726	69.08780166467784
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	o	right	5.69054816662658	0.005137895007846893	70.6333712372837
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	o	right	5.695683031045215	0.005131833829424615	71.83824692571531
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	o	right	5.700825744968549	0.005153594017242469	72.64151048033602
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	o	right	5.705983118201123	0.005161152447906936	73.19007126646764
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	o	right	5.711159192540589	0.0051909962310237034	73.43584277364737
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	o	right	5.716365073826228	0.0052207663402557	73.42400782516941
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	o	right	5.7215944806733265	0.005238047353938846	73.29553792212197
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	o	right	5.726843542289952	0.0052600758793133195	73.12825117955408
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	o	right	5.732090613179556	0.005234065899895057	73.13567335392806
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	o	right	5.7373264351457145	0.005237578032421197	73.2559235868291
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	o	right	5.74254396206933	0.005197475814810559	73.45848316111037
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	o	right	5.747736329782741	0.005187259612012163	73.52840767478696
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	o	right	5.752903065389994	0.005146211602492734	73.4253436895566
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	o	right	5.758038122415154	0.005123902447826012	72.9431350789984
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	o	right	5.763126305005828	0.005052462733523555	72.2484247405466
17_F45_free_narr	1	F45	haq’illˀalo	Free narrative	o	right	5.7681365654149985	0.0049680580848159295	71.43619383622449
17_F45_free_narr	2	F45	nik’alajgu	Free narrative	a	left	8.630395768472283	0.007503728741172111	70.03236313356015
17_F45_free_narr	2	F45	nik’alajgu	Free narrative	a	left	8.637549350428884	0.0068034351720314135	71.13621105270929
