file	token_code	speaker	word	prodType	v1	v2	consonant	creakType	creakStart	creakEnd	V1start	Cstart	V2start	V2end	v1_max_int	c_min_int	v2_max_int	c_mean_int	c_mean_int_norm	left_point	f0_left_hz	f0_left_db	h2_left_hz	h2_left_db	a1_left_hz	a1_left_db	a2_left_hz	a2_left_db	mid_point	f0_mid_hz	f0_mid_db	h2_mid_hz	h2_mid_db	a1_mid_hz	a1_mid_db	a2_mid_hz	a2_mid_db	right_point	f0_right_hz	f0_right_db	h2_right_hz	h2_right_db	a1_right_hz	a1_right_db	a2_right_hz	a2_right_db
82_M75_free_narr	1	M75	ilajma	Free narrative	i	a	l	-	0	0	88.605	88.638	88.698	88.820	77.21	72.61	76.28	74.14	67.77	0.1	140.62	43.18	281.58	43.11	281.25	43.11	1781.25	11.23	0.5	140.62	43.00	294.06	44.12	296.88	44.12	1609.38	15.74	0.9	156.25	42.65	312.29	48.59	312.50	48.59	1484.38	21.78
82_M75_free_narr	2	M75	mʲarulˀa	Free narrative	u	a	lˀ	creak	93.980	94.026	93.893	93.980	94.068	94.229	75.30	68.03	75.12	70.56	65.84	0.1	93.75	18.86	187.50	33.56	359.38	37.48	1125.00	28.69	0.5	78.12	19.44	166.77	32.98	343.75	39.02	1062.50	22.03	0.9	156.25	38.41	312.50	46.62	343.75	44.87	1125.00	33.82
82_M75_free_narr	3	M75	wulˀond	Free narrative	u	o	lˀ	creak	96.774	96.796	96.687	96.762	96.847	96.960	75.04	68.00	75.88	69.88	63.61	0.1	156.25	31.76	312.50	33.37	406.25	39.53	937.50	26.68	0.5	171.88	32.09	358.06	40.74	343.75	40.74	1031.25	20.00	0.9	171.88	38.37	343.75	43.95	375.00	42.51	1046.88	29.07
82_M75_free_narr	4	M75	woχudulojd	Free narrative	u	o	l	-	0	0	99.008	99.054	99.102	99.148	78.06	76.51	78.18	77.22	68.78	0.1	140.62	39.12	281.25	47.19	453.12	47.95	1046.88	32.86	0.5	140.62	39.64	292.44	47.97	437.50	45.24	1031.25	28.70	0.9	140.62	39.54	281.25	47.25	437.50	49.78	1171.88	29.66
82_M75_free_narr	5	M75	židulo	Free narrative	u	o	l	-	0	0	124.646	124.702	124.756	124.794	78.75	74.75	76.04	75.68	69.23	0.1	140.62	39.18	281.25	42.30	437.50	41.48	1031.25	32.65	0.5	140.62	39.02	297.73	48.47	296.88	48.47	1031.25	34.42	0.9	156.25	38.77	312.50	47.03	421.88	39.51	1046.88	36.70
82_M75_free_narr	6	M75	buturulur	Free narrative	u	u	l	-	0	0	147.816	147.858	147.880	147.940	76.54	76.05	79.47	76.47	67.07	0.1	187.50	40.39	364.60	49.15	359.38	49.15	734.38	33.43	0.5	187.50	40.35	364.14	49.25	359.38	49.25	734.38	34.30	0.9	187.50	40.36	365.07	50.25	359.38	50.25	734.38	34.31
82_M75_free_narr	7	M75	wolˀond	Free narrative	o	o	lˀ	creaky	162.089	162.113	162.010	162.083	162.130	162.223	79.17	67.78	76.00	70.94	65.35	0.1	171.88	27.09	336.65	31.59	421.88	35.86	1000.00	31.37	0.5	171.88	27.32	313.99	43.05	359.38	43.57	1062.50	26.52	0.9	171.88	35.34	345.56	46.30	359.38	46.30	1031.25	32.49
82_M75_free_narr	8	M75	ček'alo	Free narrative	a	o	l	-	0	0	169.061	169.112	169.171	169.238	78.37	76.64	76.35	77.01	70.96	0.1	171.88	34.53	343.75	45.85	500.00	48.56	1015.62	35.52	0.5	171.88	35.14	340.53	48.91	359.38	47.38	1015.62	36.67	0.9	171.88	34.70	343.75	48.78	515.62	45.61	1046.88	38.57
82_M75_free_narr	9	M75	wolˀon	Free narrative	o	o	lˀ	-	0	0	211.577	211.649	211.687	211.779	78.60	71.77	75.66	72.86	67.58	0.1	187.50	30.25	372.08	40.91	546.88	43.15	1109.38	27.50	0.5	187.50	30.97	370.18	43.69	359.38	43.69	1109.38	26.84	0.9	187.50	34.02	367.84	47.57	375.00	47.57	1109.38	30.63
82_M75_free_narr	10	M75	biloč’ukːu	Free narrative	i	o	l	-	0	0	214.316	214.366	214.406	214.482	80.36	77.04	77.86	77.91	69.63	0.1	171.88	36.31	336.43	50.82	343.75	50.82	1187.50	20.85	0.5	171.88	36.34	343.74	50.69	343.75	50.69	1203.12	24.36	0.9	171.88	37.43	343.75	52.56	359.38	52.51	1203.12	29.01
