file	token_code	speaker	word	prodType	v1	v2	consonant	creakType	creakStart	creakEnd	V1start	Cstart	V2start	V2end	v1_max_int	c_min_int	v2_max_int	c_mean_int	c_mean_int_norm	left_point	f0_left_hz	f0_left_db	h2_left_hz	h2_left_db	a1_left_hz	a1_left_db	a2_left_hz	a2_left_db	mid_point	f0_mid_hz	f0_mid_db	h2_mid_hz	h2_mid_db	a1_mid_hz	a1_mid_db	a2_mid_hz	a2_mid_db	right_point	f0_right_hz	f0_right_db	h2_right_hz	h2_right_db	a1_right_hz	a1_right_db	a2_right_hz	a2_right_db
M69_ind_wrd_carr_phr	1	M69	q'ali	1	a	i	l	-	0	0	2.001	2.183	2.325	2.623	70.86	61.41	68.55	64.10	65.10	0.1	156.25	29.48	312.50	35.96	328.12	31.53	1343.75	14.38	0.5	109.38	26.32	230.75	38.33	250.00	36.72	1593.75	9.31	0.9	93.75	25.53	187.50	35.14	312.50	29.70	1687.50	6.38
M69_ind_wrd_carr_phr	2	M69	q'ali	2	a	i	l	-	0	0	2.890	3.108	3.249	3.519	71.57	60.86	68.57	64.15	65.75	0.1	125.00	30.05	238.84	37.31	234.38	37.31	1390.62	11.24	0.5	93.75	24.74	183.18	35.57	187.50	35.57	1562.50	4.99	0.9	93.75	28.52	177.62	35.11	171.88	35.11	1734.38	3.52
M69_ind_wrd_carr_phr	3	M69	q'ali	3	a	i	l	-	0	0	3.786	3.977	4.126	4.301	71.03	58.77	69.67	63.19	63.71	0.1	125.00	29.10	245.66	38.92	250.00	38.92	1359.38	8.28	0.5	93.75	24.20	184.47	33.59	187.50	33.59	1578.12	0.25	0.9	93.75	28.42	178.50	34.59	187.50	34.59	1734.38	2.28
M69_ind_wrd_carr_phr	4	M69	q'ali	Carrier phrase	a	i	l	-	0	0	5.304	5.454	5.573	5.676	70.40	66.85	70.38	69.74	69.09	0.1	125.00	31.26	238.51	38.59	234.38	38.59	1453.12	17.19	0.5	109.38	32.62	229.84	42.24	250.00	40.28	1500.00	11.58	0.9	125.00	35.14	244.56	42.87	250.00	42.87	1718.75	12.10
M69_ind_wrd_carr_phr	5	M69	lˀala	1	a	a	l	-	0	0	26.198	26.410	26.517	26.754	72.97	64.15	68.35	66.19	68.00	0.1	125.00	27.31	250.00	33.39	359.38	31.01	1062.50	13.04	0.5	109.38	26.37	220.65	34.77	328.12	35.61	1000.00	13.41	0.9	109.38	30.89	218.75	38.55	343.75	39.32	1015.62	16.30
M69_ind_wrd_carr_phr	6	M69	lˀala	2	a	a	l	-	0	0	27.166	27.372	27.474	27.695	72.47	63.47	68.90	66.11	67.25	0.1	125.00	27.18	250.00	32.84	375.00	27.91	1062.50	14.65	0.5	125.00	29.17	235.90	35.61	359.38	35.91	1062.50	16.47	0.9	125.00	32.99	250.00	39.44	390.62	34.69	1078.12	21.76
M69_ind_wrd_carr_phr	7	M69	lˀala	3	a	a	l	-	0	0	28.102	28.248	28.353	28.588	72.32	64.03	66.47	65.89	69.67	0.1	125.00	30.99	249.76	33.15	375.00	36.07	1031.25	14.53	0.5	109.38	28.61	229.34	36.03	343.75	37.46	1031.25	14.16	0.9	109.38	26.24	218.75	33.52	421.88	27.55	1031.25	19.21
M69_ind_wrd_carr_phr	8	M69	lˀala	Carrier phrase	a	a	l	-	0	0	29.638	29.745	29.845	29.953	74.43	65.18	70.08	67.76	68.17	0.1	109.38	26.90	218.75	31.02	578.12	24.51	1062.50	16.26	0.5	125.00	29.40	237.26	36.13	359.38	40.80	1000.00	11.49	0.9	125.00	31.09	250.00	36.30	500.00	34.48	1000.00	28.71
M69_ind_wrd_carr_phr	9	M69	ila	1	i	a	l	-	0	0	32.736	32.912	33.021	33.261	75.88	63.02	70.07	65.34	64.94	0.2	140.62	33.11	281.25	35.34	281.25	35.34	1578.12	9.57	0.5	125.00	30.51	254.02	38.62	250.00	38.62	1500.00	10.73	0.9	109.38	28.37	218.75	36.31	343.75	34.89	1437.50	7.55
M69_ind_wrd_carr_phr	10	M69	ila	2	i	a	l	-	0	0	33.639	33.801	33.915	34.163	75.69	61.14	69.64	63.28	63.40	0.1	125.00	31.22	250.00	32.02	281.25	30.46	1609.38	0.15	0.5	109.38	27.48	223.51	37.21	234.38	37.21	1390.62	3.50	0.9	109.38	26.90	218.75	32.89	437.50	30.70	1390.62	17.20
M69_ind_wrd_carr_phr	11	M69	ila	3	i	a	l	-	0	0	34.529	34.669	34.774	35.044	73.74	61.73	67.49	63.76	65.79	0.1	125.00	31.36	250.00	35.29	265.62	34.11	1515.62	4.48	0.5	109.38	28.24	228.15	37.71	234.38	37.71	1437.50	5.68	0.9	93.75	26.87	187.50	32.34	406.25	29.64	1406.25	9.01
M69_ind_wrd_carr_phr	12	M69	ila	Carrier phrase	i	a	l	-	0	0	36.143	36.257	36.377	36.539	72.93	66.01	70.00	67.18	66.94	0.1	125.00	32.61	250.00	38.14	343.75	30.74	1718.75	11.81	0.5	109.38	31.47	230.11	39.20	234.38	39.20	1484.38	8.55	0.9	109.38	32.87	218.75	37.52	437.50	33.10	1343.75	18.33
M69_ind_wrd_carr_phr	13	M69	rolˀal	1	o	a	lˀ	full stop	39.882	39.927	39.708	39.862	40.057	40.243	73.06	47.67	68.83	55.70	56.50	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
M69_ind_wrd_carr_phr	14	M69	rolˀal	2	o	a	lˀ	full stop	41.141	41.247	40.937	41.112	41.308	41.497	72.42	34.84	69.23	50.69	51.90	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
M69_ind_wrd_carr_phr	15	M69	rolˀal	3	o	a	lˀ	full stop	42.219	42.337	42.001	42.172	42.362	42.510	71.89	35.45	68.64	48.64	50.43	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
M69_ind_wrd_carr_phr	16	M69	rolˀal	Carrier phrase	o	a	lˀ	full stop	43.990	44.056	43.835	43.974	44.124	44.234	73.18	45.57	70.55	55.85	55.17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
M69_ind_wrd_carr_phr	17	M69	relˀa	1	e	a	lˀ	full stop + creak	46.827	46.964	46.661	46.827	46.999	47.193	72.82	30.61	68.85	44.48	45.21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
M69_ind_wrd_carr_phr	18	M69	relˀa	2	e	a	lˀ	full stop	47.807	47.969	47.624	47.807	48.014	48.225	71.33	33.60	68.66	46.05	46.94	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
M69_ind_wrd_carr_phr	19	M69	relˀa	3	e	a	lˀ	full stop	48.767	48.895	48.604	48.767	48.924	49.068	71.82	33.71	69.88	44.52	45.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
M69_ind_wrd_carr_phr	20	M69	relˀa	Carrier phrase	e	a	lˀ	full stop + creak	50.249	50.332	50.093	50.240	50.376	50.526	73.04	38.85	69.79	52.26	52.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
M69_ind_wrd_carr_phr	21	M69	belˀora	1	e	o	lˀ	full stop + creak	53.513	53.619	53.331	53.474	53.636	53.777	71.66	34.52	71.75	53.31	51.46	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
M69_ind_wrd_carr_phr	22	M69	belˀora	2	e	o	lˀ	creaky	54.693	54.795	54.545	54.663	54.824	54.921	72.20	51.80	71.68	59.17	57.83	0.1	93.75	24.45	199.89	33.21	296.88	36.04	1531.25	16.18	0.5	--undefined--	--undefined--	--undefined--	--undefined--	265.62	20.41	1296.88	4.40	0.9	93.75	21.73	206.73	34.81	312.50	35.03	1171.88	19.57
M69_ind_wrd_carr_phr	23	M69	belˀora	3	e	o	lˀ	creaky	55.809	55.888	55.645	55.759	55.897	56.009	72.15	52.26	71.18	59.62	58.04	0.1	109.38	25.56	208.05	34.36	312.50	35.37	1562.50	21.61	0.5	93.75	6.38	181.17	6.21	343.75	23.84	1515.62	-0.42	0.9	93.75	17.49	171.86	25.15	359.38	33.23	1187.50	15.11
M69_ind_wrd_carr_phr	24	M69	belˀora	Carrier phrase	e	o	lˀ	creak	57.660	57.721	57.528	57.629	57.749	57.862	72.52	52.42	72.02	59.77	57.60	0.1	93.75	22.42	187.50	34.74	312.50	35.62	1437.50	17.51	0.5	62.50	4.14	132.35	-2.70	265.62	23.06	1296.88	6.22	0.9	109.38	19.79	218.75	31.31	421.88	32.45	1171.88	19.49
