file	token_code	speaker	word	prodType	v1	v2	consonant	creakType	creakStart	creakEnd	V1start	Cstart	V2start	V2end	v1_max_int	c_min_int	v2_max_int	c_mean_int	c_mean_int_norm	left_point	f0_left_hz	f0_left_db	h2_left_hz	h2_left_db	a1_left_hz	a1_left_db	a2_left_hz	a2_left_db	mid_point	f0_mid_hz	f0_mid_db	h2_mid_hz	h2_mid_db	a1_mid_hz	a1_mid_db	a2_mid_hz	a2_mid_db	right_point	f0_right_hz	f0_right_db	h2_right_hz	h2_right_db	a1_right_hz	a1_right_db	a2_right_hz	a2_right_db
07_M35_M40_free_narr	51	M35	č’itulˀo	Free narrative	u	o	lˀ	creak	426.744	426.788	426.674	426.724	426.810	426.877	70.53	63.46	67.91	66.64	68.62	0.1	140.62	31.86	285.26	41.47	265.62	41.47	1000.00	13.27	0.5	93.75	23.91	182.24	16.07	265.62	37.51	921.88	11.96	0.9	125.00	31.70	267.00	35.25	390.62	37.21	921.88	10.63
07_M35_M40_free_narr	52	M35	misalˀa	Free narrative	a	a	lˀ	creak	436.636	436.659	436.531	436.621	436.697	436.763	70.93	67.28	66.80	68.95	72.60	0.1	125.00	31.87	250.00	31.14	421.88	37.31	1062.50	28.46	0.5	140.62	32.11	266.46	25.25	406.25	40.59	1078.12	21.79	0.9	125.00	34.22	250.00	34.26	406.25	35.52	1296.88	16.11
07_M35_M40_free_narr	53	M40	ašolawl	Free narrative	o	a	l	-	0	0	442.311	442.340	442.425	442.462	79.56	73.71	77.62	75.13	67.35	0.1	156.25	41.61	297.58	40.13	453.12	44.93	1093.75	31.52	0.5	156.25	42.13	301.28	44.24	296.88	44.24	1109.38	25.71	0.9	156.25	43.79	312.50	43.17	468.75	46.75	1078.12	24.52
07_M35_M40_free_narr	54	M40	worč’unnilˀa	Free narrative	i	a	lˀ	-	0	0	480.256	480.289	480.354	480.420	77.93	74.56	74.94	75.85	70.90	0.1	125.00	32.76	250.00	49.39	281.25	47.39	1515.62	21.15	0.5	125.00	30.21	248.40	50.41	250.00	50.41	1250.00	25.16	0.9	109.38	34.42	218.75	44.82	468.75	41.15	1281.25	25.17
07_M35_M40_free_narr	55	M40	sebgulo	Free narrative	u	o	l	-	0	0	483.818	483.866	483.912	483.945	77.80	75.19	76.51	75.60	69.00	0.1	109.38	33.68	218.75	46.17	437.50	45.54	1437.50	9.69	0.5	109.38	33.55	218.89	47.28	250.00	42.93	1000.00	16.55	0.9	109.38	32.60	218.75	47.48	437.50	40.16	1296.88	8.02
07_M35_M40_free_narr	56	M40	wulˀom	Free narrative	u	o	lˀ	-	0	0	493.042	493.088	493.132	493.186	77.36	76.30	77.18	77.01	69.35	0.1	109.38	38.44	218.75	47.85	328.12	39.42	1000.00	19.22	0.5	109.38	37.67	223.85	50.09	250.00	46.81	1000.00	23.04	0.9	109.38	36.96	218.75	50.28	343.75	40.97	1015.62	23.46
07_M35_M40_free_narr	57	M40	sːorilo	Free narrative	i	o	l	-	0	0	494.031	494.099	494.186	494.243	76.27	73.61	76.78	75.98	69.56	0.1	109.38	34.93	218.75	44.56	343.75	38.04	1515.62	11.64	0.5	109.38	33.80	232.56	47.72	359.38	48.73	1484.38	12.09	0.9	109.38	35.48	218.75	45.17	343.75	45.53	1281.25	12.83
07_M35_M40_free_narr	58	M40	zolo	Free narrative	o	o	l	-	0	0	508.081	508.131	508.204	508.274	77.66	73.85	76.76	75.18	68.16	0.1	187.50	43.28	342.28	38.51	406.25	40.34	937.50	13.76	0.5	109.38	30.18	216.59	47.38	250.00	42.61	984.38	22.27	0.9	109.38	33.58	228.94	47.63	343.75	45.01	1015.62	21.84
07_M35_M40_free_narr	59	M40	čongola	Free narrative	o	a	l	-	0	0	527.778	527.820	527.884	527.993	80.01	74.42	76.04	74.97	69.21	0.1	125.00	28.15	248.49	42.67	500.00	47.72	1000.00	26.44	0.5	125.00	28.13	247.82	42.54	500.00	45.33	1000.00	20.98	0.9	125.00	27.03	259.10	41.27	515.62	47.27	1000.00	25.70
07_M35_M40_free_narr	60	M40	wolˀondlo	Free narrative	o	o	lˀ	-	0	0	576.710	576.779	576.848	576.919	78.08	74.82	74.61	76.32	71.66	0.1	171.88	36.08	343.75	49.58	390.62	41.94	1203.12	25.16	0.5	171.88	37.13	343.44	50.12	343.75	50.12	1031.25	30.16	0.9	171.88	38.48	343.75	46.81	500.00	40.16	1203.12	26.85
07_M35_M40_free_narr	61	M40	hilˀo	Free narrative	i	o	lˀ	-	0	0	590.033	590.208	590.275	590.342	77.88	71.45	76.91	75.18	67.90	0.2	93.75	25.66	201.02	44.81	250.00	39.91	1375.00	4.11	0.5	109.38	30.54	212.24	46.46	328.12	43.60	1265.62	10.35	0.9	109.38	34.52	218.75	49.08	328.12	44.03	1171.88	19.12
07_M35_M40_free_narr	62	M40	hilˀa	Free narrative	i	a	lˀ	-	0	0	593.236	593.277	593.340	593.400	77.32	75.32	74.50	75.62	70.88	0.1	109.38	31.35	218.75	47.31	421.88	42.67	1750.00	9.74	0.5	109.38	31.74	221.78	46.61	328.12	42.73	1531.25	12.74	0.9	109.38	32.91	231.11	46.85	218.75	46.85	1312.50	19.05
07_M35_M40_free_narr	63	M40	hegelˀa	Free narrative	e	a	lˀ	-	0	0	594.054	594.098	594.199	594.279	78.32	71.99	73.48	72.98	69.83	0.2	93.75	26.28	201.43	42.60	203.12	42.60	1296.88	19.80	0.5	93.75	28.60	195.53	39.07	296.88	42.95	1281.25	10.80	0.9	93.75	29.84	193.03	36.72	296.88	43.10	1156.25	17.91
07_M35_M40_free_narr	64	M40	čongola	Free narrative	o	a	l	-	0	0	596.783	596.833	596.892	596.958	79.38	73.95	75.99	74.78	69.22	0.1	125.00	31.41	250.00	42.32	468.75	43.44	1078.12	32.10	0.5	125.00	33.37	236.90	45.32	468.75	45.08	1062.50	32.75	0.9	125.00	33.66	243.34	44.01	484.38	40.53	1078.12	31.82
07_M35_M40_free_narr	65	M40	k’ek’olo	Free narrative	o	o	l	-	0	0	598.915	598.970	599.036	599.093	79.09	74.23	76.89	76.24	68.98	0.1	125.00	31.83	250.00	40.83	375.00	39.61	1078.12	19.76	0.5	125.00	33.78	242.71	44.88	359.38	49.26	1093.75	22.26	0.9	125.00	32.81	250.00	43.20	390.62	47.72	1078.12	22.94
07_M35_M40_free_narr	66	M40	hilˀa	Free narrative	i	a	lˀ	creak	623.982	624.002	623.920	623.977	624.047	624.187	76.83	73.74	73.68	74.26	70.99	0.1	109.38	32.60	218.00	45.23	218.75	45.23	1687.50	5.74	0.5	109.38	33.79	228.21	44.78	234.38	44.78	1343.75	13.27	0.9	109.38	34.64	233.88	44.08	234.38	44.08	1265.62	23.14
07_M35_M40_free_narr	67	M40	wolˀon	Free narrative	o	o	lˀ	-	0	0	645.726	645.848	645.903	645.961	78.98	73.51	75.33	74.67	69.46	0.1	109.38	29.52	216.28	45.50	218.75	45.50	1000.00	22.32	0.5	109.38	31.67	218.96	48.35	218.75	48.35	1093.75	22.78	0.9	109.38	31.92	224.78	48.74	218.75	48.74	1000.00	23.49
