file	token_code	speaker	word	prodType	v1	v2	consonant	creakType	creakStart	creakEnd	V1start	Cstart	V2start	V2end	v1_max_int	c_min_int	v2_max_int	c_mean_int	c_mean_int_norm	left_point	f0_left_hz	f0_left_db	h2_left_hz	h2_left_db	a1_left_hz	a1_left_db	a2_left_hz	a2_left_db	mid_point	f0_mid_hz	f0_mid_db	h2_mid_hz	h2_mid_db	a1_mid_hz	a1_mid_db	a2_mid_hz	a2_mid_db	right_point	f0_right_hz	f0_right_db	h2_right_hz	h2_right_db	a1_right_hz	a1_right_db	a2_right_hz	a2_right_db
M50_ind_wrd_carr_phr	1	M50	q'ali	1	a	i	l	-	0	0	1.680	1.830	1.933	2.138	70.04	66.33	69.50	68.60	68.93	0.1	125.00	31.45	261.78	40.69	265.62	40.69	1578.12	5.32	0.5	125.00	31.92	231.20	41.54	234.38	41.54	1718.75	4.75	0.9	109.38	31.45	211.95	37.61	203.12	37.61	1671.88	-2.15
M50_ind_wrd_carr_phr	2	M50	q'ali	2	a	i	l	-	0	0	2.754	2.902	3.018	3.245	70.87	67.08	68.46	68.69	70.20	0.1	125.00	29.12	242.31	39.14	250.00	39.14	1578.12	11.59	0.5	109.38	31.78	223.01	41.08	250.00	37.62	1765.62	6.44	0.9	109.38	30.49	204.93	38.83	203.12	38.83	1671.88	4.51
M50_ind_wrd_carr_phr	3	M50	q'ali	3	a	i	l	-	0	0	3.773	3.949	4.056	4.269	71.38	65.55	69.34	67.55	68.32	0.1	125.00	30.29	241.96	40.18	250.00	40.18	1593.75	11.15	0.5	109.38	31.75	220.49	41.15	218.75	41.15	1671.88	9.91	0.9	109.38	31.05	210.29	38.13	203.12	38.13	1984.38	1.47
M50_ind_wrd_carr_phr	4	M50	q'ali	Carrier phrase	a	i	l	-	0	0	5.372	5.474	5.560	5.642	70.31	68.10	70.03	69.88	69.74	0.1	109.38	30.28	208.59	38.64	218.75	38.64	1562.50	9.64	0.5	109.38	32.35	218.51	41.65	218.75	41.65	1656.25	14.86	0.9	109.38	33.99	239.20	40.89	218.75	40.89	1906.25	8.28
M50_ind_wrd_carr_phr	5	M50	lˀala	1	a	a	l	-	0	0	23.830	23.992	24.107	24.326	72.33	67.10	66.92	68.84	71.83	0.1	140.62	28.48	281.25	34.47	562.50	25.59	1062.50	24.70	0.5	125.00	30.78	244.35	36.76	375.00	38.53	984.38	27.41	0.9	109.38	29.32	218.75	37.15	453.12	40.53	1000.00	26.12
M50_ind_wrd_carr_phr	6	M50	lˀala	2	a	a	l	-	0	0	24.984	25.194	25.296	25.517	71.44	66.43	67.20	69.49	72.12	0.1	109.38	26.28	218.75	34.08	437.50	37.89	1125.00	25.62	0.5	109.38	27.94	212.99	36.06	421.88	42.30	1062.50	23.13	0.9	109.38	29.19	218.75	36.53	421.88	42.88	1062.50	25.47
M50_ind_wrd_carr_phr	7	M50	lˀala	3	a	a	l	-	0	0	26.108	26.295	26.401	26.621	70.78	65.36	65.92	67.73	72.27	0.1	125.00	27.75	250.00	33.60	484.38	34.65	1093.75	24.06	0.5	109.38	28.29	224.88	36.00	453.12	38.61	1015.62	25.93	0.9	109.38	29.48	218.75	37.08	421.88	42.31	1062.50	20.80
M50_ind_wrd_carr_phr	8	M50	lˀala	Carrier phrase	a	a	l	-	0	0	27.748	27.873	27.977	28.126	71.72	66.11	67.97	68.11	69.76	0.1	109.38	26.98	218.75	34.20	453.12	35.93	1046.88	20.29	0.5	109.38	29.20	228.56	36.00	453.12	39.28	1031.25	22.53	0.9	109.38	32.09	218.75	38.25	468.75	36.79	1046.88	22.64
M50_ind_wrd_carr_phr	9	M50	ila	1	i	a	l	-	0	0	31.629	31.770	31.879	32.097	71.93	66.29	67.01	68.88	71.78	0.2	125.00	29.32	261.58	39.80	250.00	39.80	1640.62	12.71	0.5	125.00	30.65	239.01	41.04	250.00	40.45	1531.25	20.53	0.9	109.38	30.75	218.75	40.02	343.75	39.31	1343.75	23.31
M50_ind_wrd_carr_phr	10	M50	ila	2	i	a	l	-	0	0	32.653	32.811	32.932	33.138	72.98	67.15	67.77	70.27	72.27	0.2	125.00	30.36	237.50	41.31	250.00	40.98	1515.62	7.71	0.5	109.38	33.20	231.38	43.86	250.00	42.63	1609.38	17.48	0.9	109.38	32.59	218.75	41.53	343.75	38.58	1328.12	23.94
M50_ind_wrd_carr_phr	11	M50	ila	3	i	a	l	-	0	0	33.704	33.858	33.962	34.165	73.95	66.42	67.65	69.29	72.10	0.2	125.00	30.54	252.06	40.28	250.00	40.28	1578.12	9.89	0.5	109.38	32.65	227.75	42.59	250.00	40.79	1468.75	17.47	0.9	109.38	31.58	218.75	39.92	343.75	39.04	1390.62	19.62
M50_ind_wrd_carr_phr	12	M50	ila	Carrier phrase	i	a	l	-	0	0	35.372	35.465	35.571	35.691	71.51	68.89	69.41	71.69	72.73	0.2	109.38	33.60	231.38	43.71	250.00	41.87	1828.12	16.27	0.5	109.38	33.58	228.96	43.08	250.00	41.06	1453.12	14.91	0.9	109.38	32.84	218.75	41.55	359.38	38.92	1359.38	23.96
