file	token_code	speaker	word	prodType	v1	v2	consonant	creakType	creakStart	creakEnd	V1start	Cstart	V2start	V2end	v1_max_int	c_min_int	v2_max_int	c_mean_int	c_mean_int_norm	left_point	f0_left_hz	f0_left_db	h2_left_hz	h2_left_db	a1_left_hz	a1_left_db	a2_left_hz	a2_left_db	mid_point	f0_mid_hz	f0_mid_db	h2_mid_hz	h2_mid_db	a1_mid_hz	a1_mid_db	a2_mid_hz	a2_mid_db	right_point	f0_right_hz	f0_right_db	h2_right_hz	h2_right_db	a1_right_hz	a1_right_db	a2_right_hz	a2_right_db
F49_ind_wrd_carr_phr	1	F49	q'ali	1	a	i	l	-	0	0	1.571	1.714	1.818	2.001	71.10	64.56	71.97	67.45	65.77	0.1	218.75	35.91	454.75	27.47	437.50	27.47	1765.62	14.09	0.5	234.38	39.13	459.74	36.00	453.12	36.00	1843.75	14.81	0.9	234.38	43.14	468.75	40.12	453.12	36.39	1921.88	9.60
F49_ind_wrd_carr_phr	2	F49	q'ali	2	a	i	l	-	0	0	2.885	3.026	3.136	3.274	72.37	67.05	70.82	70.34	69.52	0.1	218.75	36.61	437.50	36.73	421.88	36.73	1890.62	16.67	0.5	218.75	41.36	447.36	40.41	453.12	40.41	2031.25	19.56	0.9	250.00	41.20	497.43	42.71	500.00	42.71	2000.00	10.08
F49_ind_wrd_carr_phr	3	F49	q'ali	3	a	i	l	-	0	0	3.865	4.000	4.083	4.182	73.21	65.33	69.61	66.82	67.58	0.1	218.75	35.19	437.50	36.52	421.88	36.52	1765.62	13.99	0.5	218.75	37.67	432.95	36.56	437.50	36.56	1953.12	15.11	0.9	218.75	39.28	437.50	38.72	421.88	38.72	1890.62	12.87
F49_ind_wrd_carr_phr	4	F49	q'ali	Carrier phrase	a	i	l	-	0	0	5.259	5.351	5.417	5.509	69.95	64.65	71.09	65.32	64.68	0.1	203.12	32.99	406.25	34.75	406.25	34.75	1843.75	11.58	0.5	218.75	35.36	427.57	36.81	421.88	36.81	1937.50	14.54	0.9	218.75	36.87	437.50	35.85	437.50	35.85	1734.38	13.47
F49_ind_wrd_carr_phr	5	F49	lˀala	1	a	a	l	-	0	0	22.342	22.484	22.548	22.723	71.19	66.47	69.30	68.24	68.86	0.1	234.38	35.59	457.35	35.36	468.75	35.36	1640.62	22.60	0.5	234.38	37.39	472.28	39.18	468.75	39.18	1421.88	22.57	0.9	234.38	39.25	485.55	41.46	484.38	41.46	1437.50	25.16
F49_ind_wrd_carr_phr	6	F49	lˀala	2	a	a	l	-	0	0	23.695	23.856	23.920	24.079	71.64	65.23	69.41	66.97	67.36	0.1	234.38	34.38	455.04	34.47	453.12	34.47	1390.62	21.52	0.5	234.38	36.49	464.90	38.42	468.75	38.42	1390.62	22.36	0.9	234.38	37.46	474.01	39.50	484.38	39.50	1421.88	25.05
F49_ind_wrd_carr_phr	7	F49	lˀala	3	a	a	l	-	0	0	24.731	24.876	24.937	25.050	71.95	65.18	68.01	65.83	67.59	0.1	203.12	33.08	417.12	35.27	406.25	35.27	1437.50	15.84	0.5	203.12	33.87	395.01	37.46	390.62	37.46	1375.00	17.17	0.9	187.50	34.03	376.19	36.21	375.00	36.21	1312.50	20.54
F49_ind_wrd_carr_phr	8	F49	lˀala	Carrier phrase	a	a	l	-	0	0	26.102	26.252	26.321	26.456	73.30	63.85	67.86	66.37	68.21	0.1	218.75	32.49	428.09	33.40	421.88	33.40	1296.88	17.13	0.5	218.75	34.66	430.84	36.71	437.50	36.71	1296.88	19.81	0.9	218.75	38.30	440.35	40.82	437.50	40.82	1328.12	23.75
F49_ind_wrd_carr_phr	9	F49	ila	1	i	a	l	-	0	0	29.113	29.208	29.320	29.508	73.74	65.84	69.41	69.28	69.54	0.2	234.38	40.11	468.75	30.34	468.75	27.45	2171.88	18.41	0.5	234.38	36.61	471.38	44.07	468.75	44.07	2093.75	20.74	0.9	218.75	35.45	437.50	41.58	453.12	41.58	1765.62	24.12
F49_ind_wrd_carr_phr	10	F49	ila	2	i	a	l	-	0	0	30.175	30.252	30.354	30.541	72.74	68.02	68.67	70.18	71.50	0.2	234.38	42.12	468.75	35.42	437.50	31.91	2093.75	14.98	0.5	250.00	43.37	496.04	41.65	500.00	41.65	1984.38	22.54	0.9	218.75	35.33	437.50	41.29	453.12	41.29	1796.88	27.81
