file	token_code	speaker	word	prodType	sound	vowel_place	interval_middle	interval_dur	interval_intensity
21_F45_free_narr	1	F45	iluʟ	Free narrative	i	left	9.952557067252776	0.0058444240625998845	72.79092446056738
21_F45_free_narr	1	F45	iluʟ	Free narrative	i	left	9.95859218145333	0.006225804338507501	74.49199982697783
21_F45_free_narr	1	F45	iluʟ	Free narrative	i	left	9.964830785879276	0.00625140451337991	75.97731835606079
21_F45_free_narr	1	F45	iluʟ	Free narrative	i	left	9.971043595930219	0.006174215588506726	76.99696713320543
21_F45_free_narr	1	F45	iluʟ	Free narrative	i	left	9.977208460343684	0.0061555132384256694	77.42630419948965
21_F45_free_narr	1	F45	iluʟ	Free narrative	i	left	9.98335220575239	0.00613197757898476	77.15414988568673
21_F45_free_narr	1	F45	iluʟ	Free narrative	i	left	9.989467692195557	0.006098995307352695	76.01646739819512
21_F45_free_narr	1	F45	iluʟ	Free narrative	i	left	9.995460009853959	0.0058856400094491335	74.13136524179995
21_F45_free_narr	1	F45	iluʟ	Free narrative	l	-	10.00099910188355	0.005192544049736014	72.13334077294975
21_F45_free_narr	1	F45	iluʟ	Free narrative	l	-	10.007009366032495	0.006827984248150898	70.84664126612823
21_F45_free_narr	1	F45	iluʟ	Free narrative	l	-	10.013634381532096	0.006422046751053401	71.02801664857162
21_F45_free_narr	1	F45	iluʟ	Free narrative	l	-	10.01999240435357	0.006293998891893082	71.59838597469039
21_F45_free_narr	1	F45	iluʟ	Free narrative	l	-	10.026259529916729	0.006240252234421817	71.94286949406644
21_F45_free_narr	1	F45	iluʟ	Free narrative	l	-	10.032480921207293	0.006202530346708812	71.9774670925506
21_F45_free_narr	1	F45	iluʟ	Free narrative	l	-	10.038672047124816	0.006179721488337009	71.80276439119685
21_F45_free_narr	1	F45	iluʟ	Free narrative	l	-	10.044830545574944	0.006137275411919774	71.51300835372884
21_F45_free_narr	1	F45	iluʟ	Free narrative	l	-	10.050956700176151	0.006115033790495161	71.27479729832649
21_F45_free_narr	1	F45	iluʟ	Free narrative	l	-	10.057064388811362	0.006100343479925385	71.28050501655495
21_F45_free_narr	1	F45	iluʟ	Free narrative	l	-	10.06317929735393	0.006129473605207991	71.85436242113887
21_F45_free_narr	1	F45	iluʟ	Free narrative	l	-	10.06927194716565	0.00605582601823329	73.4648546947922
21_F45_free_narr	1	F45	iluʟ	Free narrative	l	-	10.075110123059913	0.005620525770293483	75.25512280826567
21_F45_free_narr	1	F45	iluʟ	Free narrative	u	right	10.080861854155174	0.005882936420228191	76.73129147897077
21_F45_free_narr	1	F45	iluʟ	Free narrative	u	right	10.086762527959603	0.005918411188632788	77.29165956192746
21_F45_free_narr	1	F45	iluʟ	Free narrative	u	right	10.092667202894551	0.005890938681261559	77.10414672611921
21_F45_free_narr	1	F45	iluʟ	Free narrative	u	right	10.09855510983637	0.0058848752023763495	76.32877330826065
21_F45_free_narr	1	F45	iluʟ	Free narrative	u	right	10.104511609929308	0.0060281249834961415	74.90385984679959
21_F45_free_narr	1	F45	iluʟ	Free narrative	u	right	10.110620022663511	0.006188700484914378	72.63159403135845
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	a	left	13.290982590260846	0.006264265487548215	76.87836676941723
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	a	left	13.297274360853514	0.006319275697785898	76.77897618680004
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	a	left	13.303618722722883	0.006369448040953074	76.45530807154607
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	a	left	13.309986336193106	0.00636577889949308	76.03570531592594
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	a	left	13.316375396925167	0.006412342564631857	75.65275888524802
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	a	left	13.322791392562984	0.006419648711000647	75.37276127315725
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	a	left	13.329215408172589	0.006428382508207875	75.18267111026394
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	a	left	13.335649321037288	0.006439443221189833	74.92790733620257
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	a	left	13.342098545950751	0.006459006605737727	74.54671289000918
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	a	left	13.348572972833942	0.006489847160645823	74.10140441848915
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	a	left	13.355069459287046	0.006503125745560112	73.65821818282637
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	a	left	13.36159023432591	0.0065384243321684465	73.2962177856735
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	a	left	13.368133632743174	0.006548372502360067	73.11689065756424
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	a	left	13.374689029080418	0.006562420172127048	73.13945424827278
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	a	left	13.381234048141113	0.006527617949265263	73.32381514159886
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	a	left	13.387791195235529	0.006586676239566103	73.37235257508141
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	a	left	13.394442730488368	0.00671639426611037	72.89319584061602
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	lˀ	-	13.401256115507234	0.0069103757716213465	71.5365860692194
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	lˀ	-	13.408189307513588	0.006956008241084888	69.54948147617921
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	lˀ	-	13.415267158911462	0.007199694554664404	67.52834923892027
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	lˀ	-	13.422679141106334	0.007624269835080355	66.13793134709417
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	lˀ	-	13.43031249573309	0.007642439418431124	65.68116965455776
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	lˀ	-	13.438255226716961	0.008243022549310197	65.91035235867488
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	lˀ	-	13.446361146273945	0.00796881656465942	67.89036202647456
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	lˀ	-	13.454234990401632	0.00777887169071434	70.95962508699773
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	a	right	13.461995470862298	0.007742089230617921	73.27705891699127
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	a	right	13.469453062320753	0.007173093686288823	74.43948265347414
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	a	right	13.476520678174847	0.0069621380219029305	75.08301404323453
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	a	right	13.483405712837712	0.006807931303825399	75.49812435269395
21_F45_free_narr	2	F45	iχʷalˀaʁojd	Free narrative	a	right	13.490204088813533	0.006788820647816607	75.62095791101247
