file	token_code	speaker	word	prodType	sound	vowel_place	interval_middle	interval_dur	interval_intensity
18_F45_free_narr	1	F45	jiinnologu	Free narrative	o	left	14.861696798500038	0.005373437781443613	65.90022554420288
18_F45_free_narr	1	F45	jiinnologu	Free narrative	o	left	14.867237499686883	0.005707964592245318	66.13755150796734
18_F45_free_narr	1	F45	jiinnologu	Free narrative	o	left	14.872798503903393	0.005414043840774596	66.45206820997247
18_F45_free_narr	1	F45	jiinnologu	Free narrative	o	left	14.878282379348525	0.0055537070494899865	66.94495827718222
18_F45_free_narr	1	F45	jiinnologu	Free narrative	o	left	14.883787824239981	0.005457182733424659	67.513831065434
18_F45_free_narr	1	F45	jiinnologu	Free narrative	o	left	14.889229333837893	0.005425836462395139	68.09950847180471
18_F45_free_narr	1	F45	jiinnologu	Free narrative	o	left	14.894639876195116	0.005395248252053619	68.62933759577395
18_F45_free_narr	1	F45	jiinnologu	Free narrative	o	left	14.900027706799932	0.0053804129575780735	69.0278898625554
18_F45_free_narr	1	F45	jiinnologu	Free narrative	o	left	14.905395993202507	0.005356159847572428	69.36190138131742
18_F45_free_narr	1	F45	jiinnologu	Free narrative	o	left	14.910733465112742	0.005318783972894536	69.74899339851493
18_F45_free_narr	1	F45	jiinnologu	Free narrative	o	left	14.916026724636904	0.005267735075429769	70.25218585254784
18_F45_free_narr	1	F45	jiinnologu	Free narrative	o	left	14.921277942184693	0.005234700020150029	70.82025007937506
18_F45_free_narr	1	F45	jiinnologu	Free narrative	o	left	14.92650979588156	0.0052290073735825615	71.38451126481534
18_F45_free_narr	1	F45	jiinnologu	Free narrative	o	left	14.931715457715661	0.005182316294620293	71.86020192369908
18_F45_free_narr	1	F45	jiinnologu	Free narrative	l	-	14.936881171148087	0.0051491105702314854	72.23935917618061
18_F45_free_narr	1	F45	jiinnologu	Free narrative	l	-	14.942006785879865	0.005102118893324459	72.45634951719492
18_F45_free_narr	1	F45	jiinnologu	Free narrative	l	-	14.94708688645947	0.005058082265884778	72.57532794641429
18_F45_free_narr	1	F45	jiinnologu	Free narrative	l	-	14.952115923148684	0.004999991112544677	72.61087638356679
18_F45_free_narr	1	F45	jiinnologu	Free narrative	l	-	14.95710893231191	0.004986027213906397	72.6274288336049
18_F45_free_narr	1	F45	jiinnologu	Free narrative	l	-	14.96207284822685	0.004941804615974377	72.66768122963644
18_F45_free_narr	1	F45	jiinnologu	Free narrative	l	-	14.96701280791198	0.004938114754285294	72.76962125877455
18_F45_free_narr	1	F45	jiinnologu	Free narrative	l	-	14.971959384120371	0.004955037662499606	72.86090221096768
18_F45_free_narr	1	F45	jiinnologu	Free narrative	o	right	14.976925937183864	0.004978068464485119	72.91122475626044
18_F45_free_narr	1	F45	jiinnologu	Free narrative	o	right	14.981906428221158	0.004982913610103168	72.79356703232689
18_F45_free_narr	1	F45	jiinnologu	Free narrative	o	right	14.986903546665328	0.005011323278237612	72.41942658157514
18_F45_free_narr	1	F45	jiinnologu	Free narrative	o	right	14.991934569330986	0.0050507220530757735	71.69281721673902
18_F45_free_narr	1	F45	jiinnologu	Free narrative	o	right	14.996998193719154	0.005076526723263086	70.24087040094061
18_F45_free_narr	2	F45	jilˀinno	Free narrative	i	left	16.428443340077074	0.006445968218645959	68.65021003022726
18_F45_free_narr	2	F45	jilˀinno	Free narrative	i	left	16.434892746453087	0.006452844533381352	69.39966554442132
18_F45_free_narr	2	F45	jilˀinno	Free narrative	i	left	16.441322080772082	0.006405824104614766	69.88623669410474
18_F45_free_narr	2	F45	jilˀinno	Free narrative	i	left	16.447718929150234	0.006387872651682613	70.10349436669338
18_F45_free_narr	2	F45	jilˀinno	Free narrative	i	left	16.454067597883558	0.006309464814968635	69.96709873675974
18_F45_free_narr	2	F45	jilˀinno	Free narrative	i	left	16.46032709253787	0.006209524493655749	69.3492398832514
18_F45_free_narr	2	F45	jilˀinno	Free narrative	i	left	16.46652962744615	0.006195545322903229	68.35152210610504
18_F45_free_narr	2	F45	jilˀinno	Free narrative	i	left	16.472710792119827	0.00616678402444748	67.22100376215414
18_F45_free_narr	2	F45	jilˀinno	Free narrative	i	left	16.47892565815262	0.006262948041140248	66.55984725382739
18_F45_free_narr	2	F45	jilˀinno	Free narrative	i	left	16.485236084669364	0.006357904992349006	66.55140766818921
18_F45_free_narr	2	F45	jilˀinno	Free narrative	i	left	16.491655069920856	0.006480065510636734	66.8462161873437
18_F45_free_narr	2	F45	jilˀinno	Free narrative	i	left	16.498202045032407	0.006613884712464824	67.02960804030705
18_F45_free_narr	2	F45	jilˀinno	Free narrative	lˀ	-	16.505092555406915	0.007167136036549948	66.57828186849798
18_F45_free_narr	2	F45	jilˀinno	Free narrative	lˀ	-	16.512249859613853	0.007147472377322828	64.95293088944004
18_F45_free_narr	2	F45	jilˀinno	Free narrative	lˀ	-	16.539382178354828	0.04711716510463049	60.34846608660514
18_F45_free_narr	2	F45	jilˀinno	Free narrative	i	right	16.567460312486165	0.009039103158045236	67.50899710108898
18_F45_free_narr	2	F45	jilˀinno	Free narrative	i	right	16.57555363464259	0.00714754115479721	70.7340782945808
18_F45_free_narr	2	F45	jilˀinno	Free narrative	i	right	16.582322450842767	0.00639009124556722	72.61993752591796
18_F45_free_narr	2	F45	jilˀinno	Free narrative	i	right	16.588701352227005	0.006367711522905495	73.61661703380955
18_F45_free_narr	2	F45	jilˀinno	Free narrative	i	right	16.595060598474397	0.006350780971882131	74.062267105897
18_F45_free_narr	2	F45	jilˀinno	Free narrative	i	right	16.601383713926595	0.006295449932505193	74.20533402208244
18_F45_free_narr	2	F45	jilˀinno	Free narrative	i	right	16.60767231918345	0.006281760581206441	74.28455166418408
18_F45_free_narr	2	F45	jilˀinno	Free narrative	i	right	16.61396107315553	0.006295747362958792	74.29473262155685
18_F45_free_narr	2	F45	jilˀinno	Free narrative	i	right	16.62028893685857	0.006359980043125546	74.22974234604003
18_F45_free_narr	2	F45	jilˀinno	Free narrative	i	right	16.626667974567255	0.0063980953742373	74.02702333751175
18_F45_free_narr	2	F45	jilˀinno	Free narrative	i	right	16.63309092978004	0.006447815051334516	73.6546510845297
18_F45_free_narr	2	F45	jilˀinno	Free narrative	i	right	16.639629665857726	0.006629657104035402	73.40017278352524
18_F45_free_narr	3	F45	jiinnologu	Free narrative	o	left	21.603386085974996	0.005122841165213998	71.4056364263359
